Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1753650417,2025-07-27T21:06:57Z,XBKRB,"23.124664,-106.241386",1925,108,134
1753650425,2025-07-27T21:07:05Z,XBKRB,"23.121519,-106.238098",1975,115,137
1753650433,2025-07-27T21:07:13Z,XBKRB,"23.118446,-106.234993",2075,113,137
1753650440,2025-07-27T21:07:20Z,XBKRB,"23.115646,-106.2323",2200,109,138
1753650448,2025-07-27T21:07:28Z,XBKRB,"23.112627,-106.229347",2325,108,136
1753650455,2025-07-27T21:07:35Z,XBKRB,"23.110107,-106.226555",2375,118,134
1753650463,2025-07-27T21:07:43Z,XBKRB,"23.106949,-106.223457",2350,124,139
1753650469,2025-07-27T21:07:49Z,XBKRB,"23.104065,-106.220818",2450,122,140
1753650476,2025-07-27T21:07:56Z,XBKRB,"23.100952,-106.217964",2525,121,138
1753650481,2025-07-27T21:08:01Z,XBKRB,"23.099167,-106.21627",2575,121,138
1753650483,2025-07-27T21:08:03Z,XBKRB,"23.098068,-106.215218",2600,119,138
1753650491,2025-07-27T21:08:11Z,XBKRB,"23.09523,-106.212578",2700,111,140
1753650498,2025-07-27T21:08:18Z,XBKRB,"23.092098,-106.209816",2825,109,140
1753650507,2025-07-27T21:08:27Z,XBKRB,"23.088501,-106.206779",2900,111,143
1753650511,2025-07-27T21:08:31Z,XBKRB,"23.08679,-106.205391",2925,110,143
1753650514,2025-07-27T21:08:34Z,XBKRB,"23.085709,-106.204483",2950,111,143
1753650521,2025-07-27T21:08:41Z,XBKRB,"23.08288,-106.202034",2975,112,140
1753650530,2025-07-27T21:08:50Z,XBKRB,"23.079163,-106.198639",3075,111,138
1753650538,2025-07-27T21:08:58Z,XBKRB,"23.076141,-106.195793",3125,115,138
1753650540,2025-07-27T21:09:00Z,XBKRB,"23.075106,-106.194817",3150,116,138
1753650543,2025-07-27T21:09:03Z,XBKRB,"23.074081,-106.193848",3175,116,138
1753650551,2025-07-27T21:09:11Z,XBKRB,"23.070917,-106.190796",3275,114,138
1753650558,2025-07-27T21:09:18Z,XBKRB,"23.068222,-106.188202",3325,117,137
1753650566,2025-07-27T21:09:26Z,XBKRB,"23.064789,-106.184959",3375,118,139
1753650573,2025-07-27T21:09:33Z,XBKRB,"23.061653,-106.182152",3475,117,140
1753650581,2025-07-27T21:09:41Z,XBKRB,"23.058161,-106.178947",3525,119,139
1753650590,2025-07-27T21:09:50Z,XBKRB,"23.054577,-106.175591",3625,117,139
1753650599,2025-07-27T21:09:59Z,XBKRB,"23.0509,-106.172234",3675,120,139
1753650606,2025-07-27T21:10:06Z,XBKRB,"23.04792,-106.169434",3750,121,139
1753650614,2025-07-27T21:10:14Z,XBKRB,"23.04451,-106.166283",3825,119,139
1753650621,2025-07-27T21:10:21Z,XBKRB,"23.041681,-106.163635",3900,121,138
1753650628,2025-07-27T21:10:28Z,XBKRB,"23.038609,-106.160736",3950,120,139
1753650637,2025-07-27T21:10:37Z,XBKRB,"23.034931,-106.15728",4050,121,139
1753650644,2025-07-27T21:10:44Z,XBKRB,"23.03183,-106.154449",4100,124,139
1753650651,2025-07-27T21:10:51Z,XBKRB,"23.028625,-106.151451",4150,122,139
1753650659,2025-07-27T21:10:59Z,XBKRB,"23.025528,-106.148529",4250,120,138
1753650668,2025-07-27T21:11:08Z,XBKRB,"23.021479,-106.144814",4325,121,139
1753650677,2025-07-27T21:11:17Z,XBKRB,"23.017593,-106.141167",4400,121,138
1753650686,2025-07-27T21:11:26Z,XBKRB,"23.013889,-106.137642",4500,119,138
1753650694,2025-07-27T21:11:34Z,XBKRB,"23.010544,-106.134369",4575,119,138
1753650701,2025-07-27T21:11:41Z,XBKRB,"23.007839,-106.131744",4600,121,138
1753650708,2025-07-27T21:11:48Z,XBKRB,"23.004673,-106.128593",4675,121,136
1753650717,2025-07-27T21:11:57Z,XBKRB,"23.001114,-106.125031",4775,120,137
1753650725,2025-07-27T21:12:05Z,XBKRB,"22.997864,-106.121788",4850,120,136
1753650731,2025-07-27T21:12:11Z,XBKRB,"22.995083,-106.118874",4900,122,135
1753650738,2025-07-27T21:12:18Z,XBKRB,"22.992336,-106.116028",4950,123,136
1753650746,2025-07-27T21:12:26Z,XBKRB,"22.989258,-106.112846",5025,122,136
1753650758,2025-07-27T21:12:38Z,XBKRB,"22.984039,-106.107552",5125,121,136
1753650774,2025-07-27T21:12:54Z,XBKRB,"22.977812,-106.101074",5275,120,136
1753650788,2025-07-27T21:13:08Z,XBKRB,"22.972366,-106.094917",5400,120,130
1753650795,2025-07-27T21:13:15Z,XBKRB,"22.970085,-106.091766",5450,121,126
1753650797,2025-07-27T21:13:17Z,XBKRB,"22.969208,-106.090424",5475,121,126
1753650799,2025-07-27T21:13:19Z,XBKRB,"22.968384,-106.089279",5475,122,126
1753650806,2025-07-27T21:13:26Z,XBKRB,"22.966049,-106.085785",5525,123,125
1753650821,2025-07-27T21:13:41Z,XBKRB,"22.961517,-106.078888",5650,122,124
1753650833,2025-07-27T21:13:53Z,XBKRB,"22.957468,-106.072746",5750,122,124
1753650848,2025-07-27T21:14:08Z,XBKRB,"22.952591,-106.064957",5875,123,123
1753650860,2025-07-27T21:14:20Z,XBKRB,"22.948763,-106.058403",6000,123,121
1753650893,2025-07-27T21:14:53Z,XBKRB,"22.939175,-106.041054",6300,110,120
1753650906,2025-07-27T21:15:06Z,XBKRB,"22.935495,-106.034187",6375,122,120
1753650921,2025-07-27T21:15:21Z,XBKRB,"22.931259,-106.026405",6475,123,120
1753650934,2025-07-27T21:15:34Z,XBKRB,"22.927322,-106.019417",6600,124,121
