Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757004441,2025-09-04T16:47:21Z,XBKRB,"18.194338,-102.509636",7200,137,317
1757004455,2025-09-04T16:47:35Z,XBKRB,"18.200729,-102.516029",7325,139,316
1757004468,2025-09-04T16:47:48Z,XBKRB,"18.207001,-102.522255",7475,137,316
1757004481,2025-09-04T16:48:01Z,XBKRB,"18.212631,-102.527863",7575,138,316
1757004495,2025-09-04T16:48:15Z,XBKRB,"18.219568,-102.534904",7700,140,316
1757004508,2025-09-04T16:48:28Z,XBKRB,"18.225294,-102.540695",7825,138,315
1757004523,2025-09-04T16:48:43Z,XBKRB,"18.232086,-102.547562",8000,137,315
1757004536,2025-09-04T16:48:56Z,XBKRB,"18.238003,-102.553627",8100,137,315
1757004549,2025-09-04T16:49:09Z,XBKRB,"18.244055,-102.559868",8225,139,315
1757004562,2025-09-04T16:49:22Z,XBKRB,"18.250618,-102.566559",8225,150,315
1757004576,2025-09-04T16:49:36Z,XBKRB,"18.257172,-102.573265",8250,157,315
1757004591,2025-09-04T16:49:51Z,XBKRB,"18.265236,-102.581543",8225,164,315
1757004605,2025-09-04T16:50:05Z,XBKRB,"18.273422,-102.589943",8250,166,315
1757004618,2025-09-04T16:50:18Z,XBKRB,"18.280518,-102.597244",8250,166,315
1757004633,2025-09-04T16:50:33Z,XBKRB,"18.288986,-102.605881",8250,166,315
1757004648,2025-09-04T16:50:48Z,XBKRB,"18.297134,-102.614067",8225,168,316
1757004661,2025-09-04T16:51:01Z,XBKRB,"18.304459,-102.621475",8225,169,315
1757004673,2025-09-04T16:51:13Z,XBKRB,"18.311417,-102.628487",8225,168,316
1757004688,2025-09-04T16:51:28Z,XBKRB,"18.319981,-102.636971",8250,167,316
1757004701,2025-09-04T16:51:41Z,XBKRB,"18.327057,-102.643967",8225,169,316
1757004716,2025-09-04T16:51:56Z,XBKRB,"18.335762,-102.652504",8225,169,317
1757004729,2025-09-04T16:52:09Z,XBKRB,"18.343506,-102.660072",8225,169,316
1757004743,2025-09-04T16:52:23Z,XBKRB,"18.351654,-102.668068",8225,170,317
1757004758,2025-09-04T16:52:38Z,XBKRB,"18.360155,-102.676224",8225,169,317
1757004773,2025-09-04T16:52:53Z,XBKRB,"18.369001,-102.684616",8250,168,317
1757004823,2025-09-04T16:53:43Z,XBKRB,"18.397064,-102.711082",8250,165,318
1757004836,2025-09-04T16:53:56Z,XBKRB,"18.404892,-102.718521",8225,166,318
1757004849,2025-09-04T16:54:09Z,XBKRB,"18.412811,-102.725601",8200,166,320
1757004865,2025-09-04T16:54:25Z,XBKRB,"18.422241,-102.733696",8225,166,320
1757004880,2025-09-04T16:54:40Z,XBKRB,"18.431194,-102.741394",8225,166,320
1757004894,2025-09-04T16:54:54Z,XBKRB,"18.439407,-102.748459",8225,165,320
1757004908,2025-09-04T16:55:08Z,XBKRB,"18.447327,-102.755272",8250,164,320
1757004923,2025-09-04T16:55:23Z,XBKRB,"18.456427,-102.763168",8250,163,320
1757004940,2025-09-04T16:55:40Z,XBKRB,"18.466782,-102.771996",8250,162,320
1757005013,2025-09-04T16:56:53Z,XBKRB,"18.508331,-102.80986",8250,166,319
