Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1754342940,2025-08-04T21:29:00Z,XBKRB,"20.987402,-101.480949",0,5,36,,,,04/08/2025 21:29,20.987402,-101.480949,0.029735481
1754342957,2025-08-04T21:29:17Z,XBKRB,"20.987797,-101.480629",0,6,36,,,,04/08/2025 21:29,20.987797,-101.480629,0.016271072
1754342969,2025-08-04T21:29:29Z,XBKRB,"20.988018,-101.480461",0,5,5,,,,04/08/2025 21:29,20.988018,-101.480461,0.014511468
1754342978,2025-08-04T21:29:38Z,XBKRB,"20.988235,-101.480347",0,7,30,,,,04/08/2025 21:29,20.988235,-101.480347,0.018765989
1754342987,2025-08-04T21:29:47Z,XBKRB,"20.988449,-101.480103",0,8,36,,,,04/08/2025 21:29,20.988449,-101.480103,0.020125408
1754342997,2025-08-04T21:29:57Z,XBKRB,"20.988728,-101.479904",0,6,354,,,,04/08/2025 21:29,20.988728,-101.479904,0.016355232
1754343006,2025-08-04T21:30:06Z,XBKRB,"20.988997,-101.47995",0,8,5,,,,04/08/2025 21:30,20.988997,-101.47995,0.016015693
1754343013,2025-08-04T21:30:13Z,XBKRB,"20.989218,-101.47979",0,9,42,,,,04/08/2025 21:30,20.989218,-101.47979,0.016161212
1754343020,2025-08-04T21:30:20Z,XBKRB,"20.989426,-101.479607",0,7,5,,,,04/08/2025 21:30,20.989426,-101.479607,0.012720021
1754343027,2025-08-04T21:30:27Z,XBKRB,"20.989632,-101.47966",0,7,320,,,,04/08/2025 21:30,20.989632,-101.47966,0.01939356
1754343036,2025-08-04T21:30:36Z,XBKRB,"20.989861,-101.479904",0,10,306,,,,04/08/2025 21:30,20.989861,-101.479904,0.019351038
1754343042,2025-08-04T21:30:42Z,XBKRB,"20.990089,-101.480148",0,12,309,,,,04/08/2025 21:30,20.990089,-101.480148,0.019393493
1754343047,2025-08-04T21:30:47Z,XBKRB,"20.990318,-101.480392",0,14,309,,,,04/08/2025 21:30,20.990318,-101.480392,0.018806691
1754343052,2025-08-04T21:30:52Z,XBKRB,"20.990532,-101.480637",0,15,306,,,,04/08/2025 21:30,20.990532,-101.480637,0.034058515
1754343060,2025-08-04T21:31:00Z,XBKRB,"20.990929,-101.481071",0,16,309,,,,04/08/2025 21:31,20.990929,-101.481071,0.01811952
1754343064,2025-08-04T21:31:04Z,XBKRB,"20.991142,-101.4813",0,17,312,,,,04/08/2025 21:31,20.991142,-101.4813,0.036343083
1754343071,2025-08-04T21:31:11Z,XBKRB,"20.991556,-101.481773",0,18,309,,,,04/08/2025 21:31,20.991556,-101.481773,0.024392972
1754343076,2025-08-04T21:31:16Z,XBKRB,"20.991823,-101.482101",0,19,312,,,,04/08/2025 21:31,20.991823,-101.482101,0.043857591
1754343083,2025-08-04T21:31:23Z,XBKRB,"20.992336,-101.482658",0,21,312,,,,04/08/2025 21:31,20.992336,-101.482658,0.042710774
1754343090,2025-08-04T21:31:30Z,XBKRB,"20.992836,-101.4832",0,21,309,,,,04/08/2025 21:31,20.992836,-101.4832,0.039540466
1754343097,2025-08-04T21:31:37Z,XBKRB,"20.99329,-101.483711",0,21,309,,,,04/08/2025 21:31,20.99329,-101.483711,0.044323655
1754343104,2025-08-04T21:31:44Z,XBKRB,"20.993814,-101.484268",0,21,309,,,,04/08/2025 21:31,20.993814,-101.484268,0.045115959
1754343112,2025-08-04T21:31:52Z,XBKRB,"20.994335,-101.484848",0,21,309,,,,04/08/2025 21:31,20.994335,-101.484848,0.048922878
1754343121,2025-08-04T21:32:01Z,XBKRB,"20.994896,-101.485481",0,19,312,,,,04/08/2025 21:32,20.994896,-101.485481,0.034098031
1754343127,2025-08-04T21:32:07Z,XBKRB,"20.995293,-101.485916",0,17,312,,,,04/08/2025 21:32,20.995293,-101.485916,0.03258995
1754343134,2025-08-04T21:32:14Z,XBKRB,"20.995676,-101.486328",0,16,312,,,,04/08/2025 21:32,20.995676,-101.486328,0.019032374
1754343139,2025-08-04T21:32:19Z,XBKRB,"20.995903,-101.486565",0,13,323,,,,04/08/2025 21:32,20.995903,-101.486565,0.014594883
1754343143,2025-08-04T21:32:23Z,XBKRB,"20.996141,-101.486618",0,11,5,,,,04/08/2025 21:32,20.996141,-101.486618,0.017280625
1754343148,2025-08-04T21:32:28Z,XBKRB,"20.996395,-101.486473",0,12,36,,,,04/08/2025 21:32,20.996395,-101.486473,0.016658946
1754343153,2025-08-04T21:32:33Z,XBKRB,"20.996595,-101.486267",0,12,39,,,,04/08/2025 21:32,20.996595,-101.486267,0.017402749
1754343161,2025-08-04T21:32:41Z,XBKRB,"20.996805,-101.486053",0,4,39,,,,04/08/2025 21:32,20.996805,-101.486053,0.021142371
1754343261,2025-08-04T21:34:21Z,XBKRB,"20.997061,-101.485794",0,15,28,,,,04/08/2025 21:34,20.997061,-101.485794,0.018829102
1754343266,2025-08-04T21:34:26Z,XBKRB,"20.997356,-101.48568",0,15,348,,,,04/08/2025 21:34,20.997356,-101.48568,0.018538622
1754343270,2025-08-04T21:34:30Z,XBKRB,"20.997643,-101.485802",0,18,317,,,,04/08/2025 21:34,20.997643,-101.485802,0.015688573
