Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1755140515,2025-08-14T03:01:55Z,N501RS,"25.773228,-100.109314",0,0,329,,,,14/08/2025 03:01,25.773228,-100.109314,0.303122136
1755141793,2025-08-14T03:23:13Z,N501RS,"25.778023,-100.111069",0,9,33,,,,14/08/2025 03:23,25.778023,-100.111069,0.013797225
1755141798,2025-08-14T03:23:18Z,N501RS,"25.77824,-100.110985",0,11,14,,,,14/08/2025 03:23,25.77824,-100.110985,0.015180922
1755141803,2025-08-14T03:23:23Z,N501RS,"25.778492,-100.111008",0,12,337,,,,14/08/2025 03:23,25.778492,-100.111008,0.021898399
1755141809,2025-08-14T03:23:29Z,N501RS,"25.778732,-100.111313",0,12,300,,,,14/08/2025 03:23,25.778732,-100.111313,0.024892784
1755141817,2025-08-14T03:23:37Z,N501RS,"25.778942,-100.11171",0,11,300,,,,14/08/2025 03:23,25.778942,-100.11171,0.014206234
1755141822,2025-08-14T03:23:42Z,N501RS,"25.77907,-100.111931",0,11,300,,,,14/08/2025 03:23,25.77907,-100.111931,0.028124038
1755141831,2025-08-14T03:23:51Z,N501RS,"25.779305,-100.112381",0,11,300,,,,14/08/2025 03:23,25.779305,-100.112381,0.023995427
1755141839,2025-08-14T03:23:59Z,N501RS,"25.77951,-100.112762",0,12,300,,,,14/08/2025 03:23,25.77951,-100.112762,0.027101659
1755141846,2025-08-14T03:24:06Z,N501RS,"25.779745,-100.11319",0,13,300,,,,14/08/2025 03:24,25.779745,-100.11319,0.025988514
1755141853,2025-08-14T03:24:13Z,N501RS,"25.779968,-100.113602",0,14,300,,,,14/08/2025 03:24,25.779968,-100.113602,0.032850099
1755141862,2025-08-14T03:24:22Z,N501RS,"25.780254,-100.11412",0,14,300,,,,14/08/2025 03:24,25.780254,-100.11412,0.029990821
1755141870,2025-08-14T03:24:30Z,N501RS,"25.780525,-100.114586",0,14,303,,,,14/08/2025 03:24,25.780525,-100.114586,0.02699295
1755141877,2025-08-14T03:24:37Z,N501RS,"25.780758,-100.115013",0,13,300,,,,14/08/2025 03:24,25.780758,-100.115013,0.021554386
1755141883,2025-08-14T03:24:43Z,N501RS,"25.780941,-100.115356",0,11,300,,,,14/08/2025 03:24,25.780941,-100.115356,0.019501919
1755141890,2025-08-14T03:24:50Z,N501RS,"25.781113,-100.115662",0,10,300,,,,14/08/2025 03:24,25.781113,-100.115662,0.016613933
1755141897,2025-08-14T03:24:57Z,N501RS,"25.78125,-100.115929",0,8,300,,,,14/08/2025 03:24,25.78125,-100.115929,0.018019911
1755141904,2025-08-14T03:25:04Z,N501RS,"25.78141,-100.116211",0,9,303,,,,14/08/2025 03:25,25.78141,-100.116211,0.017700812
1755141911,2025-08-14T03:25:11Z,N501RS,"25.78157,-100.116486",0,9,300,,,,14/08/2025 03:25,25.78157,-100.116486,0.019817408
1755141918,2025-08-14T03:25:18Z,N501RS,"25.781731,-100.116806",0,10,300,,,,14/08/2025 03:25,25.781731,-100.116806,0.019424089
1755141925,2025-08-14T03:25:25Z,N501RS,"25.781902,-100.117111",0,11,300,,,,14/08/2025 03:25,25.781902,-100.117111,0.022234255
1755141933,2025-08-14T03:25:33Z,N501RS,"25.782095,-100.117462",0,10,300,,,,14/08/2025 03:25,25.782095,-100.117462,0.015266531
1755141939,2025-08-14T03:25:39Z,N501RS,"25.782223,-100.117706",0,8,300,,,,14/08/2025 03:25,25.782223,-100.117706,0.01468704
1755141946,2025-08-14T03:25:46Z,N501RS,"25.782364,-100.117928",0,6,309,,,,14/08/2025 03:25,25.782364,-100.117928,0.015411367
1755141956,2025-08-14T03:25:56Z,N501RS,"25.782585,-100.118073",0,5,348,,,,14/08/2025 03:25,25.782585,-100.118073,0.013685363
1755141976,2025-08-14T03:26:16Z,N501RS,"25.782806,-100.118011",0,4,25,,,,14/08/2025 03:26,25.782806,-100.118011,0.016009457
1755141994,2025-08-14T03:26:34Z,N501RS,"25.783039,-100.117867",0,3,28,,,,14/08/2025 03:26,25.783039,-100.117867,0.016465074
1755142119,2025-08-14T03:28:39Z,N501RS,"25.783287,-100.117737",0,4,28,,,,14/08/2025 03:28,25.783287,-100.117737,0.016045279
1755142128,2025-08-14T03:28:48Z,N501RS,"25.783516,-100.117584",0,7,30,,,,14/08/2025 03:28,25.783516,-100.117584,0.01644743
1755142136,2025-08-14T03:28:56Z,N501RS,"25.783749,-100.117424",0,7,33,,,,14/08/2025 03:28,25.783749,-100.117424,0.016676996
1755142147,2025-08-14T03:29:07Z,N501RS,"25.783962,-100.117226",0,5,50,,,,14/08/2025 03:29,25.783962,-100.117226,0.011650687
1755142161,2025-08-14T03:29:21Z,N501RS,"25.784019,-100.11702",0,3,78,,,,14/08/2025 03:29,25.784019,-100.11702,0.012035406
1755142176,2025-08-14T03:29:36Z,N501RS,"25.784004,-100.116798",0,4,101,,,,14/08/2025 03:29,25.784004,-100.116798,0.01384409
1755142190,2025-08-14T03:29:50Z,N501RS,"25.783876,-100.116585",0,6,120,,,,14/08/2025 03:29,25.783876,-100.116585,0.020672845
1755142197,2025-08-14T03:29:57Z,N501RS,"25.783699,-100.116257",0,16,120,,,,14/08/2025 03:29,25.783699,-100.116257,0.020539657
1755142201,2025-08-14T03:30:01Z,N501RS,"25.783516,-100.115936",0,28,120,,,,14/08/2025 03:30,25.783516,-100.115936,0.047290088
1755142204,2025-08-14T03:30:04Z,N501RS,"25.783096,-100.115196",0,54,120,,,,14/08/2025 03:30,25.783096,-100.115196,0.027332683
1755142206,2025-08-14T03:30:06Z,N501RS,"25.782864,-100.114761",0,60,120,,,,14/08/2025 03:30,25.782864,-100.114761,0.054355466
1755142208,2025-08-14T03:30:08Z,N501RS,"25.782398,-100.113899",0,78,120,,,,14/08/2025 03:30,25.782398,-100.113899,0.035527429
1755142210,2025-08-14T03:30:10Z,N501RS,"25.782084,-100.113342",0,84,120,,,,14/08/2025 03:30,25.782084,-100.113342,0.172915865
1755142217,2025-08-14T03:30:17Z,N501RS,"25.780563,-100.110626",1275,129,121,,,,14/08/2025 03:30,25.780563,-100.110626,0.403710004
1755142226,2025-08-14T03:30:26Z,N501RS,"25.777044,-100.104263",1400,154,122,,,,14/08/2025 03:30,25.777044,-100.104263,0.261523242
1755142232,2025-08-14T03:30:32Z,N501RS,"25.774612,-100.10025",1825,146,124,,,,14/08/2025 03:30,25.774612,-100.10025,0.367478257
1755142241,2025-08-14T03:30:41Z,N501RS,"25.771133,-100.094658",2375,150,124,,,,14/08/2025 03:30,25.771133,-100.094658,0.358175132
1755142249,2025-08-14T03:30:49Z,N501RS,"25.767641,-100.089287",2875,156,125,,,,14/08/2025 03:30,25.767641,-100.089287,0.067579805
1755142251,2025-08-14T03:30:51Z,N501RS,"25.767014,-100.088249",2950,158,126,,,,14/08/2025 03:30,25.767014,-100.088249,0.297283402
1755142258,2025-08-14T03:30:58Z,N501RS,"25.764057,-100.083839",3275,163,126,,,,14/08/2025 03:30,25.764057,-100.083839,0.416593038
1755142267,2025-08-14T03:31:07Z,N501RS,"25.75996,-100.077621",3700,164,125,,,,14/08/2025 03:31,25.75996,-100.077621,0.41285894
1755142276,2025-08-14T03:31:16Z,N501RS,"25.756027,-100.071358",4050,167,124,,,,14/08/2025 03:31,25.756027,-100.071358,0.289057245
1755142282,2025-08-14T03:31:22Z,N501RS,"25.753326,-100.066933",4300,169,123,,,,14/08/2025 03:31,25.753326,-100.066933,0.347579327
1755142289,2025-08-14T03:31:29Z,N501RS,"25.750168,-100.061546",4575,173,122,,,,14/08/2025 03:31,25.750168,-100.061546,0.42815826
1755142298,2025-08-14T03:31:38Z,N501RS,"25.746323,-100.054878",4875,179,124,,,,14/08/2025 03:31,25.746323,-100.054878,0.210361787
1755142302,2025-08-14T03:31:42Z,N501RS,"25.744034,-100.051933",5025,180,135,,,,14/08/2025 03:31,25.744034,-100.051933,0.095616572
1755142304,2025-08-14T03:31:44Z,N501RS,"25.742844,-100.050758",5075,180,141,,,,14/08/2025 03:31,25.742844,-100.050758,0.120323466
1755142306,2025-08-14T03:31:46Z,N501RS,"25.741196,-100.049492",5175,180,147,,,,14/08/2025 03:31,25.741196,-100.049492,0.095947044
1755142308,2025-08-14T03:31:48Z,N501RS,"25.739777,-100.048676",5250,182,152,,,,14/08/2025 03:31,25.739777,-100.048676,0.105901164
1755142311,2025-08-14T03:31:51Z,N501RS,"25.738174,-100.047859",5325,182,157,,,,14/08/2025 03:31,25.738174,-100.047859,0.104299856
1755142313,2025-08-14T03:31:53Z,N501RS,"25.736526,-100.047249",5400,184,162,,,,14/08/2025 03:31,25.736526,-100.047249,0.133305349
1755142315,2025-08-14T03:31:55Z,N501RS,"25.734375,-100.046638",5500,185,166,,,,14/08/2025 03:31,25.734375,-100.046638,0.111162755
1755142317,2025-08-14T03:31:57Z,N501RS,"25.732544,-100.046333",5575,186,171,,,,14/08/2025 03:31,25.732544,-100.046333,0.112993284
1755142319,2025-08-14T03:31:59Z,N501RS,"25.730667,-100.046181",5650,188,175,,,,14/08/2025 03:31,25.730667,-100.046181,0.118278658
1755142321,2025-08-14T03:32:01Z,N501RS,"25.728699,-100.046082",5725,190,178,,,,14/08/2025 03:32,25.728699,-100.046082,0.107230224
1755142324,2025-08-14T03:32:04Z,N501RS,"25.726913,-100.046082",5800,192,180,,,,14/08/2025 03:32,25.726913,-100.046082,0.137449792
1755142326,2025-08-14T03:32:06Z,N501RS,"25.724627,-100.046219",5875,194,183,,,,14/08/2025 03:32,25.724627,-100.046219,0.11509564
1755142328,2025-08-14T03:32:08Z,N501RS,"25.722719,-100.046425",5950,195,185,,,,14/08/2025 03:32,25.722719,-100.046425,0.08972107
1755142330,2025-08-14T03:32:10Z,N501RS,"25.721237,-100.046638",6000,197,187,,,,14/08/2025 03:32,25.721237,-100.046638,0.15548614
1755142332,2025-08-14T03:32:12Z,N501RS,"25.718674,-100.04705",6100,199,189,,,,14/08/2025 03:32,25.718674,-100.04705,0.10826555
1755142334,2025-08-14T03:32:14Z,N501RS,"25.7169,-100.047409",6150,202,190,,,,14/08/2025 03:32,25.7169,-100.047409,0.113298249
1755142337,2025-08-14T03:32:17Z,N501RS,"25.715057,-100.047859",6225,204,191,,,,14/08/2025 03:32,25.715057,-100.047859,0.118025155
1755142339,2025-08-14T03:32:19Z,N501RS,"25.713135,-100.048317",6275,206,193,,,,14/08/2025 03:32,25.713135,-100.048317,0.170259329
1755142341,2025-08-14T03:32:21Z,N501RS,"25.710382,-100.049072",6375,207,194,,,,14/08/2025 03:32,25.710382,-100.049072,0.115953949
1755142344,2025-08-14T03:32:24Z,N501RS,"25.708519,-100.049637",6450,208,195,,,,14/08/2025 03:32,25.708519,-100.049637,0.124805655
1755142346,2025-08-14T03:32:26Z,N501RS,"25.706518,-100.050262",6525,209,195,,,,14/08/2025 03:32,25.706518,-100.050262,0.143796263
1755142348,2025-08-14T03:32:28Z,N501RS,"25.704208,-100.050964",6600,211,196,,,,14/08/2025 03:32,25.704208,-100.050964,0.115516965
1755142350,2025-08-14T03:32:30Z,N501RS,"25.702375,-100.051613",6675,213,196,,,,14/08/2025 03:32,25.702375,-100.051613,0.146201224
1755142352,2025-08-14T03:32:32Z,N501RS,"25.700043,-100.052391",6750,215,197,,,,14/08/2025 03:32,25.700043,-100.052391,0.132148465
