Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1755818443,2025-08-21T23:20:43Z,N501RS,"16.56435,-93.023445",0,1,70,,,,21/08/2025 23:20,16.56435,-93.023445,0.014574434
1755818477,2025-08-21T23:21:17Z,N501RS,"16.56411,-93.023407",0,4,227,,,,21/08/2025 23:21,16.56411,-93.023407,0.014118663
1755818490,2025-08-21T23:21:30Z,N501RS,"16.563995,-93.023621",0,4,236,,,,21/08/2025 23:21,16.563995,-93.023621,0.030536332
1755818519,2025-08-21T23:21:59Z,N501RS,"16.563641,-93.024002",0,0,182,,,,21/08/2025 23:21,16.563641,-93.024002,0.013985902
1755818529,2025-08-21T23:22:09Z,N501RS,"16.563425,-93.023911",0,5,149,,,,21/08/2025 23:22,16.563425,-93.023911,0.016989112
1755818539,2025-08-21T23:22:19Z,N501RS,"16.563183,-93.023758",0,7,146,,,,21/08/2025 23:22,16.563183,-93.023758,0.01859092
1755818548,2025-08-21T23:22:28Z,N501RS,"16.562914,-93.023598",0,8,146,,,,21/08/2025 23:22,16.562914,-93.023598,0.017103948
1755818555,2025-08-21T23:22:35Z,N501RS,"16.562679,-93.02343",0,8,146,,,,21/08/2025 23:22,16.562679,-93.02343,0.016377227
1755818562,2025-08-21T23:22:42Z,N501RS,"16.562449,-93.023277",0,9,146,,,,21/08/2025 23:22,16.562449,-93.023277,0.018799913
1755818569,2025-08-21T23:22:49Z,N501RS,"16.562176,-93.023117",0,10,146,,,,21/08/2025 23:22,16.562176,-93.023117,0.025623179
1755818578,2025-08-21T23:22:58Z,N501RS,"16.56181,-93.022888",0,10,146,,,,21/08/2025 23:22,16.56181,-93.022888,0.020438665
1755818586,2025-08-21T23:23:06Z,N501RS,"16.561523,-93.022697",0,10,146,,,,21/08/2025 23:23,16.561523,-93.022697,0.017873574
1755818592,2025-08-21T23:23:12Z,N501RS,"16.561272,-93.02253",0,10,143,,,,21/08/2025 23:23,16.561272,-93.02253,0.020378475
1755818600,2025-08-21T23:23:20Z,N501RS,"16.560982,-93.022346",0,9,146,,,,21/08/2025 23:23,16.560982,-93.022346,0.018331523
1755818607,2025-08-21T23:23:27Z,N501RS,"16.560722,-93.022179",0,10,143,,,,21/08/2025 23:23,16.560722,-93.022179,0.021671099
1755818614,2025-08-21T23:23:34Z,N501RS,"16.560425,-93.021965",0,11,143,,,,21/08/2025 23:23,16.560425,-93.021965,0.024255404
1755818622,2025-08-21T23:23:42Z,N501RS,"16.560081,-93.021744",0,11,146,,,,21/08/2025 23:23,16.560081,-93.021744,0.020388014
1755818628,2025-08-21T23:23:48Z,N501RS,"16.559795,-93.021553",0,12,146,,,,21/08/2025 23:23,16.559795,-93.021553,0.022270093
1755818636,2025-08-21T23:23:56Z,N501RS,"16.559481,-93.021347",0,10,146,,,,21/08/2025 23:23,16.559481,-93.021347,0.017713425
1755818643,2025-08-21T23:24:03Z,N501RS,"16.559225,-93.021194",0,8,146,,,,21/08/2025 23:24,16.559225,-93.021194,0.014106654
1755818649,2025-08-21T23:24:09Z,N501RS,"16.559017,-93.02108",0,8,160,,,,21/08/2025 23:24,16.559017,-93.02108,0.015160398
1755818656,2025-08-21T23:24:16Z,N501RS,"16.558783,-93.021179",0,7,222,,,,21/08/2025 23:24,16.558783,-93.021179,0.014985638
1755818664,2025-08-21T23:24:24Z,N501RS,"16.558651,-93.0214",0,7,236,,,,21/08/2025 23:24,16.558651,-93.0214,0.018073492
1755818673,2025-08-21T23:24:33Z,N501RS,"16.558445,-93.021629",0,7,213,,,,21/08/2025 23:24,16.558445,-93.021629,0.014330171
1755818680,2025-08-21T23:24:40Z,N501RS,"16.558212,-93.021683",0,6,177,,,,21/08/2025 23:24,16.558212,-93.021683,0.014121919
1755818689,2025-08-21T23:24:49Z,N501RS,"16.557991,-93.021599",0,6,151,,,,21/08/2025 23:24,16.557991,-93.021599,0.0205907
1755818700,2025-08-21T23:25:00Z,N501RS,"16.557701,-93.021408",0,7,146,,,,21/08/2025 23:25,16.557701,-93.021408,0.014660896
1755818707,2025-08-21T23:25:07Z,N501RS,"16.557491,-93.021278",0,8,146,,,,21/08/2025 23:25,16.557491,-93.021278,0.016898392
1755818713,2025-08-21T23:25:13Z,N501RS,"16.557255,-93.021118",0,9,146,,,,21/08/2025 23:25,16.557255,-93.021118,0.01944268
1755818720,2025-08-21T23:25:20Z,N501RS,"16.556978,-93.020943",0,10,146,,,,21/08/2025 23:25,16.556978,-93.020943,0.020403216
1755818728,2025-08-21T23:25:28Z,N501RS,"16.556683,-93.020767",0,11,146,,,,21/08/2025 23:25,16.556683,-93.020767,0.022236087
1755818735,2025-08-21T23:25:35Z,N501RS,"16.556374,-93.020554",0,12,146,,,,21/08/2025 23:25,16.556374,-93.020554,0.019133441
1755818741,2025-08-21T23:25:41Z,N501RS,"16.556099,-93.020386",0,12,146,,,,21/08/2025 23:25,16.556099,-93.020386,0.029924336
1755818749,2025-08-21T23:25:49Z,N501RS,"16.555676,-93.020111",0,13,146,,,,21/08/2025 23:25,16.555676,-93.020111,0.02709749
1755818755,2025-08-21T23:25:55Z,N501RS,"16.55529,-93.019867",0,14,146,,,,21/08/2025 23:25,16.55529,-93.019867,0.033175356
1755818764,2025-08-21T23:26:04Z,N501RS,"16.554817,-93.019569",0,14,146,,,,21/08/2025 23:26,16.554817,-93.019569,0.033181335
1755818772,2025-08-21T23:26:12Z,N501RS,"16.554348,-93.019264",0,14,146,,,,21/08/2025 23:26,16.554348,-93.019264,0.023400679
1755818778,2025-08-21T23:26:18Z,N501RS,"16.554016,-93.019051",0,15,146,,,,21/08/2025 23:26,16.554016,-93.019051,0.028295888
1755818785,2025-08-21T23:26:25Z,N501RS,"16.553616,-93.018791",0,12,149,,,,21/08/2025 23:26,16.553616,-93.018791,0.015234225
1755818790,2025-08-21T23:26:30Z,N501RS,"16.553387,-93.018677",0,10,157,,,,21/08/2025 23:26,16.553387,-93.018677,0.013536521
1755818795,2025-08-21T23:26:35Z,N501RS,"16.553162,-93.018692",0,11,196,,,,21/08/2025 23:26,16.553162,-93.018692,0.019360948
1755818802,2025-08-21T23:26:42Z,N501RS,"16.55294,-93.018936",0,8,239,,,,21/08/2025 23:26,16.55294,-93.018936,0.01406356
1755819204,2025-08-21T23:33:24Z,N501RS,"16.552814,-93.019142",0,4,233,,,,21/08/2025 23:33,16.552814,-93.019142,0.017395349
1755819214,2025-08-21T23:33:34Z,N501RS,"16.552643,-93.019386",0,9,233,,,,21/08/2025 23:33,16.552643,-93.019386,0.015835688
1755819219,2025-08-21T23:33:39Z,N501RS,"16.552509,-93.019623",0,11,241,,,,21/08/2025 23:33,16.552509,-93.019623,0.015601912
1755819224,2025-08-21T23:33:44Z,N501RS,"16.552464,-93.01989",0,12,275,,,,21/08/2025 23:33,16.552464,-93.01989,0.013571029
1755819228,2025-08-21T23:33:48Z,N501RS,"16.552574,-93.020096",0,12,312,,,,21/08/2025 23:33,16.552574,-93.020096,0.016946526
1755819232,2025-08-21T23:33:52Z,N501RS,"16.552801,-93.020271",0,17,326,,,,21/08/2025 23:33,16.552801,-93.020271,0.016679517
1755819235,2025-08-21T23:33:55Z,N501RS,"16.553032,-93.020432",0,25,326,,,,21/08/2025 23:33,16.553032,-93.020432,0.020909366
1755819237,2025-08-21T23:33:57Z,N501RS,"16.553324,-93.02063",0,36,326,,,,21/08/2025 23:33,16.553324,-93.02063,0.014660896
1755819238,2025-08-21T23:33:58Z,N501RS,"16.553534,-93.02076",0,48,326,,,,21/08/2025 23:33,16.553534,-93.02076,0.022891591
1755819239,2025-08-21T23:33:59Z,N501RS,"16.553856,-93.020973",0,53,329,,,,21/08/2025 23:33,16.553856,-93.020973,0.018279202
1755819240,2025-08-21T23:34:00Z,N501RS,"16.554119,-93.021133",0,59,326,,,,21/08/2025 23:34,16.554119,-93.021133,0.050922696
1755819243,2025-08-21T23:34:03Z,N501RS,"16.55484,-93.021599",0,74,326,,,,21/08/2025 23:34,16.55484,-93.021599,0.024449459
1755819244,2025-08-21T23:34:04Z,N501RS,"16.555183,-93.021828",0,80,326,,,,21/08/2025 23:34,16.555183,-93.021828,0.051747187
1755819246,2025-08-21T23:34:06Z,N501RS,"16.555916,-93.022301",0,90,329,,,,21/08/2025 23:34,16.555916,-93.022301,0.027922397
1755819247,2025-08-21T23:34:07Z,N501RS,"16.556314,-93.022552",0,94,329,,,,21/08/2025 23:34,16.556314,-93.022552,0.051268093
1755819250,2025-08-21T23:34:10Z,N501RS,"16.557037,-93.023026",1575,104,329,,,,21/08/2025 23:34,16.557037,-93.023026,0.079304712
1755819252,2025-08-21T23:34:12Z,N501RS,"16.558165,-93.023743",1575,114,328,,,,21/08/2025 23:34,16.558165,-93.023743,0.238870716
1755819258,2025-08-21T23:34:18Z,N501RS,"16.561563,-93.025902",1550,140,328,,,,21/08/2025 23:34,16.561563,-93.025902,0.279234119
1755819265,2025-08-21T23:34:25Z,N501RS,"16.565521,-93.02845",1650,159,328,,,,21/08/2025 23:34,16.565521,-93.02845,0.36253477
1755819273,2025-08-21T23:34:33Z,N501RS,"16.570724,-93.031647",2025,161,330,,,,21/08/2025 23:34,16.570724,-93.031647,0.409013785
1755819282,2025-08-21T23:34:42Z,N501RS,"16.576721,-93.035019",2400,170,331,,,,21/08/2025 23:34,16.576721,-93.035019,0.282326923
1755819288,2025-08-21T23:34:48Z,N501RS,"16.580841,-93.037384",2625,179,332,,,,21/08/2025 23:34,16.580841,-93.037384,0.134730916
1755819290,2025-08-21T23:34:50Z,N501RS,"16.582838,-93.038452",2725,183,333,,,,21/08/2025 23:34,16.582838,-93.038452,0.099220668
1755819292,2025-08-21T23:34:52Z,N501RS,"16.58432,-93.039215",2800,184,333,,,,21/08/2025 23:34,16.58432,-93.039215,0.110681119
1755819295,2025-08-21T23:34:55Z,N501RS,"16.585968,-93.040077",2875,187,333,,,,21/08/2025 23:34,16.585968,-93.040077,0.147832758
1755819297,2025-08-21T23:34:57Z,N501RS,"16.588165,-93.041237",3000,189,333,,,,21/08/2025 23:34,16.588165,-93.041237,0.103186318
1755819299,2025-08-21T23:34:59Z,N501RS,"16.589727,-93.041985",3100,190,334,,,,21/08/2025 23:34,16.589727,-93.041985,0.102795845
1755819301,2025-08-21T23:35:01Z,N501RS,"16.591265,-93.04277",3200,191,334,,,,21/08/2025 23:35,16.591265,-93.04277,0.460179018
1755819310,2025-08-21T23:35:10Z,N501RS,"16.598145,-93.046295",3625,196,333,,,,21/08/2025 23:35,16.598145,-93.046295,0.360044896
1755819316,2025-08-21T23:35:16Z,N501RS,"16.603508,-93.049095",3875,202,332,,,,21/08/2025 23:35,16.603508,-93.049095,0.373414516
1755819323,2025-08-21T23:35:23Z,N501RS,"16.609001,-93.052139",4175,208,331,,,,21/08/2025 23:35,16.609001,-93.052139,0.53535504
1755819331,2025-08-21T23:35:31Z,N501RS,"16.616821,-93.05661",4525,219,331,,,,21/08/2025 23:35,16.616821,-93.05661,0.548472557
1755819340,2025-08-21T23:35:40Z,N501RS,"16.624874,-93.061111",4900,224,331,,,,21/08/2025 23:35,16.624874,-93.061111,0.514085974
1755819349,2025-08-21T23:35:49Z,N501RS,"16.63237,-93.06543",5350,226,330,,,,21/08/2025 23:35,16.63237,-93.06543,0.889374366
1755819362,2025-08-21T23:36:02Z,N501RS,"16.645157,-93.073235",5975,236,329,,,,21/08/2025 23:36,16.645157,-93.073235,0.846493495
1755819375,2025-08-21T23:36:15Z,N501RS,"16.657196,-93.080894",6475,249,328,,,,21/08/2025 23:36,16.657196,-93.080894,1.116177547
1755819390,2025-08-21T23:36:30Z,N501RS,"16.672943,-93.091209",7050,264,327,,,,21/08/2025 23:36,16.672943,-93.091209,0.953168345
1755819403,2025-08-21T23:36:43Z,N501RS,"16.686356,-93.100075",7625,272,327,,,,21/08/2025 23:36,16.686356,-93.100075,1.044616977
