Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1756155848,2025-08-25T21:04:08Z,N501RS,"20.988438,-101.480797",0,0,132,,,,25/08/2025 21:04,20.988438,-101.480797,0.028173885
1756157664,2025-08-25T21:34:24Z,N501RS,"20.988647,-101.480347",0,8,39,,,,25/08/2025 21:34,20.988647,-101.480347,0.018060257
1756157672,2025-08-25T21:34:32Z,N501RS,"20.988865,-101.480125",0,9,42,,,,25/08/2025 21:34,20.988865,-101.480125,0.019749539
1756157678,2025-08-25T21:34:38Z,N501RS,"20.989088,-101.479866",0,11,42,,,,25/08/2025 21:34,20.989088,-101.479866,0.017857322
1756157685,2025-08-25T21:34:45Z,N501RS,"20.989321,-101.479668",0,11,30,,,,25/08/2025 21:34,20.989321,-101.479668,0.015244571
1756157689,2025-08-25T21:34:49Z,N501RS,"20.989574,-101.479645",0,11,340,,,,25/08/2025 21:34,20.989574,-101.479645,0.017274922
1756157695,2025-08-25T21:34:55Z,N501RS,"20.989788,-101.479851",0,12,312,,,,25/08/2025 21:34,20.989788,-101.479851,0.019880685
1756157701,2025-08-25T21:35:01Z,N501RS,"20.990021,-101.480103",0,12,312,,,,25/08/2025 21:35,20.990021,-101.480103,0.017086503
1756157706,2025-08-25T21:35:06Z,N501RS,"20.990217,-101.480324",0,13,315,,,,25/08/2025 21:35,20.990217,-101.480324,0.020611618
1756157712,2025-08-25T21:35:12Z,N501RS,"20.990467,-101.480576",0,14,312,,,,25/08/2025 21:35,20.990467,-101.480576,0.03372409
1756157721,2025-08-25T21:35:21Z,N501RS,"20.990856,-101.48101",0,15,312,,,,25/08/2025 21:35,20.990856,-101.48101,0.037408454
1756157729,2025-08-25T21:35:29Z,N501RS,"20.99128,-101.481499",0,16,312,,,,25/08/2025 21:35,20.99128,-101.481499,0.030449947
1756157736,2025-08-25T21:35:36Z,N501RS,"20.991634,-101.481888",0,17,315,,,,25/08/2025 21:35,20.991634,-101.481888,0.040812131
1756157744,2025-08-25T21:35:44Z,N501RS,"20.992104,-101.482414",0,18,312,,,,25/08/2025 21:35,20.992104,-101.482414,0.037999944
1756157751,2025-08-25T21:35:51Z,N501RS,"20.99255,-101.482895",0,18,315,,,,25/08/2025 21:35,20.99255,-101.482895,0.036392141
1756157758,2025-08-25T21:35:58Z,N501RS,"20.992973,-101.48336",0,18,315,,,,25/08/2025 21:35,20.992973,-101.48336,0.039623346
1756157765,2025-08-25T21:36:05Z,N501RS,"20.993429,-101.483871",0,19,315,,,,25/08/2025 21:36,20.993429,-101.483871,0.038935602
1756157773,2025-08-25T21:36:13Z,N501RS,"20.993883,-101.484367",0,19,315,,,,25/08/2025 21:36,20.993883,-101.484367,0.034287381
1756157779,2025-08-25T21:36:19Z,N501RS,"20.994291,-101.484795",0,19,315,,,,25/08/2025 21:36,20.994291,-101.484795,0.042898674
1756157787,2025-08-25T21:36:27Z,N501RS,"20.994781,-101.485352",0,19,315,,,,25/08/2025 21:36,20.994781,-101.485352,0.03832102
1756157794,2025-08-25T21:36:34Z,N501RS,"20.995228,-101.48584",0,18,315,,,,25/08/2025 21:36,20.995228,-101.48584,0.035010126
1756157801,2025-08-25T21:36:41Z,N501RS,"20.99564,-101.486282",0,15,315,,,,25/08/2025 21:36,20.99564,-101.486282,0.015938974
1756157805,2025-08-25T21:36:45Z,N501RS,"20.995823,-101.486488",0,13,317,,,,25/08/2025 21:36,20.995823,-101.486488,0.01775935
1756157810,2025-08-25T21:36:50Z,N501RS,"20.996086,-101.486633",0,11,351,,,,25/08/2025 21:36,20.996086,-101.486633,0.013081245
1756157815,2025-08-25T21:36:55Z,N501RS,"20.996292,-101.486557",0,10,30,,,,25/08/2025 21:36,20.996292,-101.486557,0.018809624
