Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1754678012,2025-08-08T18:33:32Z,N501RS,"28.70056,-105.968765",0,0,14,,,,08/08/2025 18:33,28.70056,-105.968765,0.014908818
1754678141,2025-08-08T18:35:41Z,N501RS,"28.700706,-105.968536",0,4,95,,,,08/08/2025 18:35,28.700706,-105.968536,0.011509096
1754678149,2025-08-08T18:35:49Z,N501RS,"28.700642,-105.96833",0,5,129,,,,08/08/2025 18:35,28.700642,-105.96833,0.01404159
1754678162,2025-08-08T18:36:02Z,N501RS,"28.700409,-105.968353",0,4,191,,,,08/08/2025 18:36,28.700409,-105.968353,0.013488004
1754678171,2025-08-08T18:36:11Z,N501RS,"28.700188,-105.968399",0,6,188,,,,08/08/2025 18:36,28.700188,-105.968399,0.015232414
1754678179,2025-08-08T18:36:19Z,N501RS,"28.69994,-105.96846",0,7,191,,,,08/08/2025 18:36,28.69994,-105.96846,0.013985245
1754678190,2025-08-08T18:36:30Z,N501RS,"28.699793,-105.968254",0,5,81,,,,08/08/2025 18:36,28.699793,-105.968254,0.018197587
1754678200,2025-08-08T18:36:40Z,N501RS,"28.700026,-105.968033",0,8,16,,,,08/08/2025 18:36,28.700026,-105.968033,0.017646248
1754678207,2025-08-08T18:36:47Z,N501RS,"28.700315,-105.967972",0,11,8,,,,08/08/2025 18:36,28.700315,-105.967972,0.0190225
1754678212,2025-08-08T18:36:52Z,N501RS,"28.700626,-105.967903",0,13,11,,,,08/08/2025 18:36,28.700626,-105.967903,0.020261514
1754678217,2025-08-08T18:36:57Z,N501RS,"28.700958,-105.967834",0,14,11,,,,08/08/2025 18:36,28.700958,-105.967834,0.019996326
1754678222,2025-08-08T18:37:02Z,N501RS,"28.701283,-105.967751",0,15,8,,,,08/08/2025 18:37,28.701283,-105.967751,0.012237297
1754678225,2025-08-08T18:37:05Z,N501RS,"28.701485,-105.96772",0,15,11,,,,08/08/2025 18:37,28.701485,-105.96772,0.032933898
