Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1755051510,2025-08-13T02:18:30Z,N501RS,"21.703102,-102.314491",0,1,2,,,,13/08/2025 02:18,21.703102,-102.314491,0.014395573
1755051614,2025-08-13T02:20:14Z,N501RS,"21.703236,-102.314705",0,1,286,,,,13/08/2025 02:20,21.703236,-102.314705,0.01234568
1755051636,2025-08-13T02:20:36Z,N501RS,"21.703247,-102.314926",0,4,272,,,,13/08/2025 02:20,21.703247,-102.314926,0.013054503
1755051654,2025-08-13T02:20:54Z,N501RS,"21.703159,-102.31514",0,3,213,,,,13/08/2025 02:20,21.703159,-102.31514,0.012548442
1755051681,2025-08-13T02:21:21Z,N501RS,"21.702953,-102.315178",0,4,188,,,,13/08/2025 02:21,21.702953,-102.315178,0.012434538
1755051804,2025-08-13T02:23:24Z,N501RS,"21.702747,-102.315201",0,3,182,,,,13/08/2025 02:23,21.702747,-102.315201,0.012368007
1755051813,2025-08-13T02:23:33Z,N501RS,"21.702541,-102.315201",0,6,182,,,,13/08/2025 02:23,21.702541,-102.315201,0.013534774
1755051821,2025-08-13T02:23:41Z,N501RS,"21.702316,-102.315216",0,7,182,,,,13/08/2025 02:23,21.702316,-102.315216,0.01398825
1755051829,2025-08-13T02:23:49Z,N501RS,"21.702084,-102.315239",0,7,185,,,,13/08/2025 02:23,21.702084,-102.315239,0.01558034
1755051836,2025-08-13T02:23:56Z,N501RS,"21.701826,-102.315269",0,7,180,,,,13/08/2025 02:23,21.701826,-102.315269,0.018916397
1755051843,2025-08-13T02:24:03Z,N501RS,"21.701511,-102.315262",0,9,180,,,,13/08/2025 02:24,21.701511,-102.315262,0.015790242
1755051850,2025-08-13T02:24:10Z,N501RS,"21.701248,-102.315262",0,9,177,,,,13/08/2025 02:24,21.701248,-102.315262,0.015812524
1755051857,2025-08-13T02:24:17Z,N501RS,"21.700985,-102.315277",0,8,191,,,,13/08/2025 02:24,21.700985,-102.315277,0.015517646
1755051865,2025-08-13T02:24:25Z,N501RS,"21.700779,-102.315445",0,7,227,,,,13/08/2025 02:24,21.700779,-102.315445,0.012454807
1755051871,2025-08-13T02:24:31Z,N501RS,"21.700699,-102.315651",0,7,253,,,,13/08/2025 02:24,21.700699,-102.315651,0.012496194
1755051878,2025-08-13T02:24:38Z,N501RS,"21.700665,-102.315872",0,7,255,,,,13/08/2025 02:24,21.700665,-102.315872,0.01250187
1755051884,2025-08-13T02:24:44Z,N501RS,"21.700583,-102.316078",0,8,241,,,,13/08/2025 02:24,21.700583,-102.316078,0.017893263
1755051891,2025-08-13T02:24:51Z,N501RS,"21.700367,-102.316299",0,9,216,,,,13/08/2025 02:24,21.700367,-102.316299,0.017157785
1755051898,2025-08-13T02:24:58Z,N501RS,"21.700138,-102.316483",0,9,219,,,,13/08/2025 02:24,21.700138,-102.316483,0.017158704
1755051905,2025-08-13T02:25:05Z,N501RS,"21.699898,-102.31665",0,8,210,,,,13/08/2025 02:25,21.699898,-102.31665,0.015386369
1755051911,2025-08-13T02:25:11Z,N501RS,"21.69968,-102.316795",0,10,210,,,,13/08/2025 02:25,21.69968,-102.316795,0.021004842
1755051917,2025-08-13T02:25:17Z,N501RS,"21.699383,-102.316994",0,13,210,,,,13/08/2025 02:25,21.699383,-102.316994,0.033188066
1755051925,2025-08-13T02:25:25Z,N501RS,"21.698917,-102.317314",0,14,210,,,,13/08/2025 02:25,21.698917,-102.317314,0.027397496
1755051932,2025-08-13T02:25:32Z,N501RS,"21.698534,-102.317581",0,13,210,,,,13/08/2025 02:25,21.698534,-102.317581,0.023131495
1755051939,2025-08-13T02:25:39Z,N501RS,"21.698204,-102.317795",0,13,210,,,,13/08/2025 02:25,21.698204,-102.317795,0.026696075
1755051946,2025-08-13T02:25:46Z,N501RS,"21.697826,-102.318047",0,13,208,,,,13/08/2025 02:25,21.697826,-102.318047,0.015094132
1755051950,2025-08-13T02:25:50Z,N501RS,"21.697598,-102.318161",0,14,202,,,,13/08/2025 02:25,21.697598,-102.318161,0.013947052
1755051954,2025-08-13T02:25:54Z,N501RS,"21.697382,-102.318253",0,15,194,,,,13/08/2025 02:25,21.697382,-102.318253,0.017779018
1755051958,2025-08-13T02:25:58Z,N501RS,"21.69709,-102.318306",0,15,182,,,,13/08/2025 02:25,21.69709,-102.318306,0.015332995
1755051961,2025-08-13T02:26:01Z,N501RS,"21.696835,-102.318321",0,15,180,,,,13/08/2025 02:26,21.696835,-102.318321,0.018131914
1755051965,2025-08-13T02:26:05Z,N501RS,"21.696533,-102.318321",0,16,180,,,,13/08/2025 02:26,21.696533,-102.318321,0.012792938
1755051968,2025-08-13T02:26:08Z,N501RS,"21.696321,-102.318344",0,17,180,,,,13/08/2025 02:26,21.696321,-102.318344,0.019470837
1755051972,2025-08-13T02:26:12Z,N501RS,"21.695997,-102.318359",0,18,180,,,,13/08/2025 02:26,21.695997,-102.318359,0.013148663
1755051974,2025-08-13T02:26:14Z,N501RS,"21.695778,-102.318359",0,18,180,,,,13/08/2025 02:26,21.695778,-102.318359,0.040045376
1755051982,2025-08-13T02:26:22Z,N501RS,"21.695112,-102.318398",0,19,180,,,,13/08/2025 02:26,21.695112,-102.318398,0.043220292
1755051989,2025-08-13T02:26:29Z,N501RS,"21.694393,-102.318436",0,20,182,,,,13/08/2025 02:26,21.694393,-102.318436,0.039166695
1755051996,2025-08-13T02:26:36Z,N501RS,"21.693741,-102.318459",0,20,180,,,,13/08/2025 02:26,21.693741,-102.318459,0.03650543
1755052003,2025-08-13T02:26:43Z,N501RS,"21.693134,-102.318497",0,19,182,,,,13/08/2025 02:26,21.693134,-102.318497,0.038506595
1755052010,2025-08-13T02:26:50Z,N501RS,"21.692493,-102.31852",0,20,180,,,,13/08/2025 02:26,21.692493,-102.31852,0.041241461
1755052017,2025-08-13T02:26:57Z,N501RS,"21.691807,-102.318558",0,20,180,,,,13/08/2025 02:26,21.691807,-102.318558,0.041301434
1755052024,2025-08-13T02:27:04Z,N501RS,"21.69112,-102.318596",0,20,180,,,,13/08/2025 02:27,21.69112,-102.318596,0.041927135
1755052031,2025-08-13T02:27:11Z,N501RS,"21.690422,-102.318619",0,19,182,,,,13/08/2025 02:27,21.690422,-102.318619,0.035126975
1755052038,2025-08-13T02:27:18Z,N501RS,"21.689838,-102.318657",0,19,182,,,,13/08/2025 02:27,21.689838,-102.318657,0.02745072
