,,,,,,,,,,,,,,,,,
,International Air Transport Association,,Organización de Aviación Civil Internacional,,,,,,,,,,N501RS,,,,
FECHA,DESTINO,ORIGEN,DESTINO,ORIGEN,DESTINO,ORIGEN,SALIDA,LLEGADA,SALIDA,LLEGADA,TIEMPO,MILLAS NAÚTICAS,KILÓMETROS,,,,
,IATA,IATA,OACI,OACI,,,Hora Local,Hora Local,Hora ZULU,Hora ZULU,,,,,,,
5 de agosto de 2025,SAT,REX,KSAT,MMRX,San Antonio,Reynosa,1:35:00 p. m.,14:50:00 p. m.,19:35:00,20:50:00,1:15:00,252.77,468.13,,,,
5 de agosto de 2025,REX,BJX,MMRX,MMLO,Reynosa,León,4:01:00 p. m.,5:09:00 p. m.,22:01:00,23:09:00,1:08:00,377.86,699.79,,,,
5 de agosto de 2025,BJX,CUU,MMLO,MMCU,León,Chihuahua,6:17:00 p. m.,7:51:00 p. m.,0:17:00,1:51:00,1:34:00,551.68,"1,021.71",,,,
8 de agosto de 2025,CUU,BJX,MMCU,MMLO,Chihuahua,León,12:33:00 p. m.,2:02:00 p. m.,18:33:00,20:02:00,1:29:00,534.89,990.62,,,,
11 de agosto de 2025,BJX,TLC,MMLO,MMTO,León,Toluca,9:15:00 a. m.,10:28:00 a. m.,15:15:00,16:28:00,1:13:00,151.99,281.49,,,,
12 de agosto de 2025,TLC,BJX,MMTO,MMLO,Toluca,León,10:19:00 a. m.,11:05:00 a. m.,16:19:00,17:05:00,0:46:00,196.46,363.85,,,,
12 de agosto de 2025,BJX,PBC,MMLO,MMPB,León,Puebla,11:51:00 a. m.,12:52:00 p. m.,17:51:00,18:52:00,1:01:00,303.36,561.81,,,,
12 de agosto de 2025,PBC,AGU,MMPB,MMAS,Puebla,Aguascalientes,5:19:00 p. m.,6:36:00 p. m.,23:19:00,00:36:00,1:17:00,362.94,672.17,,,,
12 de agosto de 2025,AGU,BJX,MMAS,MMLO,Aguascalientes,León,8:18:00 p. m.,8:55:00 p. m.,02:18:00,02:55:00,0:37:00,91.16,168.83,,,,
13 de agosto de 2025,BJX,MTY,MMLO,MMMY,León,Monterrey,11:57:00 a. m.,1:10:00 p. m.,17:57:00,19:10:00,1:13:00,382.93,709.19,,,,
13 de agosto de 2025,MTY,BJX,MMMY,MMLO,Monterrey,León,9:01:00 p. m.,10:27:00 p. m.,3:01:00,4:27:00,1:26:00,315.74,584.76,,,,
21 de agosto de 2025,BJX,TGZ,MMLO,MMTG,León,Tuxtla Gutiérrez,7:34:00 a. m.,9:58:00 a. m.,13:34:00,15:58:00,2:24:00,619.62,"1,147.54",,,,
21 de agosto de 2025,TGZ,BJX,MMTG,MMLO,Tuxtla Gutiérrez,León,5:20:00 p. m.,7:08:00 p. m.,23:20:00,1:08:00,1:48:00,612.25,"1,133.89",,,,
25 de agosto de 2025,BJX,TLC,MMLO,MMTO,León,Toluca,3:04:00 p. m.,4:17:00 p. m.,21:04:00,22:17:00,1:13:00,155.11,287.27,,,,
25 de agosto de 2025,TLC,BJX,MMTO,MMLO,Toluca,León,9:02:00 p. m.,9:46:00 p. m.,3:02:00,3:46:00,0:44:00,175.95,325.86,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,TOTALES:,,19:08,"5,084.73","9,416.93",,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
