Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1752949058,2025-07-19T18:17:38Z,XBKRB,"20.987518,-101.48085",0,4,36,,,19/07/2025 18:17,20.987518,-101.48085,,0.018907713
1752949074,2025-07-19T18:17:54Z,XBKRB,"20.987743,-101.480614",0,6,39,,,19/07/2025 18:17,20.987743,-101.480614,,0.017197251
1752949085,2025-07-19T18:18:05Z,XBKRB,"20.987961,-101.480415",0,5,357,,,19/07/2025 18:18,20.987961,-101.480415,,0.014664749
1752949094,2025-07-19T18:18:14Z,XBKRB,"20.98819,-101.480324",0,7,39,,,19/07/2025 18:18,20.98819,-101.480324,,0.017446706
1752949102,2025-07-19T18:18:22Z,XBKRB,"20.988401,-101.48011",0,8,39,,,19/07/2025 18:18,20.988401,-101.48011,,0.018196865
1752949113,2025-07-19T18:18:33Z,XBKRB,"20.988623,-101.479889",0,5,25,,,19/07/2025 18:18,20.988623,-101.479889,,0.017544702
1752949123,2025-07-19T18:18:43Z,XBKRB,"20.988911,-101.479942",0,8,354,,,19/07/2025 18:18,20.988911,-101.479942,,0.017155182
1752949130,2025-07-19T18:18:50Z,XBKRB,"20.989159,-101.47979",0,10,36,,,19/07/2025 18:18,20.989159,-101.47979,,0.020652117
1752949138,2025-07-19T18:18:58Z,XBKRB,"20.989439,-101.479576",0,8,354,,,19/07/2025 18:18,20.989439,-101.479576,,0.015916208
1752949144,2025-07-19T18:19:04Z,XBKRB,"20.989658,-101.479736",0,12,309,,,19/07/2025 18:19,20.989658,-101.479736,,0.017101029
1752949149,2025-07-19T18:19:09Z,XBKRB,"20.989861,-101.47995",0,14,306,,,19/07/2025 18:19,20.989861,-101.47995,,0.024831645
1752949154,2025-07-19T18:19:14Z,XBKRB,"20.990147,-101.48027",0,17,309,,,19/07/2025 18:19,20.990147,-101.48027,,0.01803507
1752949158,2025-07-19T18:19:18Z,XBKRB,"20.990358,-101.480499",0,18,309,,,19/07/2025 18:19,20.990358,-101.480499,,0.023235201
1752949162,2025-07-19T18:19:22Z,XBKRB,"20.990627,-101.480797",0,20,309,,,19/07/2025 18:19,20.990627,-101.480797,,0.02782346
1752949166,2025-07-19T18:19:26Z,XBKRB,"20.990948,-101.481155",0,22,309,,,19/07/2025 18:19,20.990948,-101.481155,,0.032058199
1752949172,2025-07-19T18:19:32Z,XBKRB,"20.991325,-101.48156",0,23,309,,,19/07/2025 18:19,20.991325,-101.48156,,0.048599179
1752949179,2025-07-19T18:19:39Z,XBKRB,"20.991886,-101.482185",0,22,309,,,19/07/2025 18:19,20.991886,-101.482185,,0.037854109
1752949186,2025-07-19T18:19:46Z,XBKRB,"20.992336,-101.482658",0,21,309,,,19/07/2025 18:19,20.992336,-101.482658,,0.043637281
1752949193,2025-07-19T18:19:53Z,XBKRB,"20.992836,-101.483223",0,20,312,,,19/07/2025 18:19,20.992836,-101.483223,,0.044683076
1752949201,2025-07-19T18:20:01Z,XBKRB,"20.993361,-101.483788",0,19,309,,,19/07/2025 18:20,20.993361,-101.483788,,0.038146082
1752949209,2025-07-19T18:20:09Z,XBKRB,"20.993797,-101.484283",0,17,312,,,19/07/2025 18:20,20.993797,-101.484283,,0.037216451
1752949216,2025-07-19T18:20:16Z,XBKRB,"20.994232,-101.484756",0,16,309,,,19/07/2025 18:20,20.994232,-101.484756,,0.037999667
1752949224,2025-07-19T18:20:24Z,XBKRB,"20.994678,-101.485237",0,19,309,,,19/07/2025 18:20,20.994678,-101.485237,,0.047785808
1752949233,2025-07-19T18:20:33Z,XBKRB,"20.995234,-101.485847",0,20,309,,,19/07/2025 18:20,20.995234,-101.485847,,0.035859361
1752949239,2025-07-19T18:20:39Z,XBKRB,"20.995651,-101.486305",0,18,309,,,19/07/2025 18:20,20.995651,-101.486305,,0.017825143
1752949243,2025-07-19T18:20:43Z,XBKRB,"20.995857,-101.486534",0,14,315,,,19/07/2025 18:20,20.995857,-101.486534,,0.017453708
1752949249,2025-07-19T18:20:49Z,XBKRB,"20.99613,-101.486641",0,10,2,,,19/07/2025 18:20,20.99613,-101.486641,,0.014927312
1752949255,2025-07-19T18:20:55Z,XBKRB,"20.996351,-101.486519",0,10,39,,,19/07/2025 18:20,20.996351,-101.486519,,0.017143537
1752949261,2025-07-19T18:21:01Z,XBKRB,"20.996555,-101.486305",0,10,36,,,19/07/2025 18:21,20.996555,-101.486305,,0.016920458
