Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1754410442,2025-08-05T16:14:02Z,XBKRB,"20.676258,-105.251472",0,3,264,,,,05/08/2025 16:14,20.676258,-105.251472,0.012099856
1754410474,2025-08-05T16:14:34Z,XBKRB,"20.676281,-105.251686",0,4,295,,,,05/08/2025 16:14,20.676281,-105.251686,0.01756618
1754410484,2025-08-05T16:14:44Z,XBKRB,"20.676464,-105.25193",0,8,315,,,,05/08/2025 16:14,20.676464,-105.25193,0.020909052
1754410493,2025-08-05T16:14:53Z,XBKRB,"20.676727,-105.252174",0,7,329,,,,05/08/2025 16:14,20.676727,-105.252174,0.012374379
1754410500,2025-08-05T16:15:00Z,XBKRB,"20.676933,-105.252167",0,7,22,,,,05/08/2025 16:15,20.676933,-105.252167,0.0162676
1754410509,2025-08-05T16:15:09Z,XBKRB,"20.677143,-105.251984",0,7,42,,,,05/08/2025 16:15,20.677143,-105.251984,0.021289072
1754410520,2025-08-05T16:15:20Z,XBKRB,"20.677387,-105.251709",0,6,42,,,,05/08/2025 16:15,20.677387,-105.251709,0.016122878
1754410556,2025-08-05T16:15:56Z,XBKRB,"20.677574,-105.251503",0,4,36,,,,05/08/2025 16:15,20.677574,-105.251503,0.018797397
1754410570,2025-08-05T16:16:10Z,XBKRB,"20.67778,-105.251251",0,7,33,,,,05/08/2025 16:16,20.67778,-105.251251,0.01728397
1754410578,2025-08-05T16:16:18Z,XBKRB,"20.678055,-105.25116",0,8,323,,,,05/08/2025 16:16,20.678055,-105.25116,0.019858865
1754410585,2025-08-05T16:16:25Z,XBKRB,"20.678307,-105.251389",0,12,306,,,,05/08/2025 16:16,20.678307,-105.251389,0.022837349
1754410592,2025-08-05T16:16:32Z,XBKRB,"20.678581,-105.251671",0,14,309,,,,05/08/2025 16:16,20.678581,-105.251671,0.024462889
1754410598,2025-08-05T16:16:38Z,XBKRB,"20.678879,-105.251968",0,14,309,,,,05/08/2025 16:16,20.678879,-105.251968,0.019405344
1754410603,2025-08-05T16:16:43Z,XBKRB,"20.679121,-105.252197",0,13,317,,,,05/08/2025 16:16,20.679121,-105.252197,0.014929688
1754410607,2025-08-05T16:16:47Z,XBKRB,"20.679359,-105.252274",0,12,357,,,,05/08/2025 16:16,20.679359,-105.252274,0.019761841
1754410613,2025-08-05T16:16:53Z,XBKRB,"20.679644,-105.252098",0,13,36,,,,05/08/2025 16:16,20.679644,-105.252098,0.024659734
1754410619,2025-08-05T16:16:59Z,XBKRB,"20.679932,-105.251785",0,15,36,,,,05/08/2025 16:16,20.679932,-105.251785,0.016082573
1754410622,2025-08-05T16:17:02Z,XBKRB,"20.680111,-105.251572",0,17,39,,,,05/08/2025 16:17,20.680111,-105.251572,0.016779488
1754410626,2025-08-05T16:17:06Z,XBKRB,"20.680298,-105.25135",0,17,36,,,,05/08/2025 16:17,20.680298,-105.25135,0.017294533
1754410629,2025-08-05T16:17:09Z,XBKRB,"20.680506,-105.251137",0,18,36,,,,05/08/2025 16:17,20.680506,-105.251137,0.019157047
1754410633,2025-08-05T16:17:13Z,XBKRB,"20.680721,-105.250885",0,16,33,,,,05/08/2025 16:17,20.680721,-105.250885,0.018116619
1754410638,2025-08-05T16:17:18Z,XBKRB,"20.680983,-105.250725",0,13,2,,,,05/08/2025 16:17,20.680983,-105.250725,0.018734178
1754410643,2025-08-05T16:17:23Z,XBKRB,"20.681293,-105.250763",0,12,323,,,,05/08/2025 16:17,20.681293,-105.250763,0.017166818
1754410648,2025-08-05T16:17:28Z,XBKRB,"20.681522,-105.250946",0,13,306,,,,05/08/2025 16:17,20.681522,-105.250946,0.020518602
1754410654,2025-08-05T16:17:34Z,XBKRB,"20.681763,-105.251205",0,12,306,,,,05/08/2025 16:17,20.681763,-105.251205,0.021952209
1754410660,2025-08-05T16:17:40Z,XBKRB,"20.68203,-105.251472",0,13,312,,,,05/08/2025 16:17,20.68203,-105.251472,0.015761094
1754410665,2025-08-05T16:17:45Z,XBKRB,"20.682278,-105.251564",0,13,340,,,,05/08/2025 16:17,20.682278,-105.251564,0.015620931
1754410668,2025-08-05T16:17:48Z,XBKRB,"20.682508,-105.251434",0,17,36,,,,05/08/2025 16:17,20.682508,-105.251434,0.018834194
1754410672,2025-08-05T16:17:52Z,XBKRB,"20.682716,-105.251183",0,23,39,,,,05/08/2025 16:17,20.682716,-105.251183,0.026171177
1754410675,2025-08-05T16:17:55Z,XBKRB,"20.68301,-105.250839",0,29,36,,,,05/08/2025 16:17,20.68301,-105.250839,0.026746324
1754410678,2025-08-05T16:17:58Z,XBKRB,"20.683319,-105.250496",0,33,46,,,,05/08/2025 16:17,20.683319,-105.250496,0.033898789
1754410682,2025-08-05T16:18:02Z,XBKRB,"20.683718,-105.250069",0,38,47,,,,05/08/2025 16:18,20.683718,-105.250069,0.017716836
1754410684,2025-08-05T16:18:04Z,XBKRB,"20.683905,-105.249825",0,39,47,,,,05/08/2025 16:18,20.683905,-105.249825,0.025831884
1754410686,2025-08-05T16:18:06Z,XBKRB,"20.684183,-105.249474",0,41,46,,,,05/08/2025 16:18,20.684183,-105.249474,0.035658944
1754410689,2025-08-05T16:18:09Z,XBKRB,"20.684601,-105.249023",0,41,47,,,,05/08/2025 16:18,20.684601,-105.249023,0.029707898
1754410691,2025-08-05T16:18:11Z,XBKRB,"20.684929,-105.248627",0,41,47,,,,05/08/2025 16:18,20.684929,-105.248627,0.026633255
1754410694,2025-08-05T16:18:14Z,XBKRB,"20.685242,-105.248291",0,41,47,,,,05/08/2025 16:18,20.685242,-105.248291,0.022961445
1754410696,2025-08-05T16:18:16Z,XBKRB,"20.685488,-105.247978",0,39,47,,,,05/08/2025 16:18,20.685488,-105.247978,0.037466287
1754410699,2025-08-05T16:18:19Z,XBKRB,"20.685928,-105.247505",0,38,48,,,,05/08/2025 16:18,20.685928,-105.247505,0.029473338
1754410702,2025-08-05T16:18:22Z,XBKRB,"20.686249,-105.247108",0,37,48,,,,05/08/2025 16:18,20.686249,-105.247108,0.069915419
1754410709,2025-08-05T16:18:29Z,XBKRB,"20.687023,-105.246178",0,35,45,,,,05/08/2025 16:18,20.687023,-105.246178,0.08925603
1754410718,2025-08-05T16:18:38Z,XBKRB,"20.688047,-105.245026",0,32,47,,,,05/08/2025 16:18,20.688047,-105.245026,0.054469455
1754410725,2025-08-05T16:18:45Z,XBKRB,"20.688641,-105.244293",0,26,42,,,,05/08/2025 16:18,20.688641,-105.244293,0.023959867
1754410728,2025-08-05T16:18:48Z,XBKRB,"20.688858,-105.243935",0,20,53,,,,05/08/2025 16:18,20.688858,-105.243935,0.014828321
1754410731,2025-08-05T16:18:51Z,XBKRB,"20.68895,-105.24369",0,15,61,,,,05/08/2025 16:18,20.68895,-105.24369,0.017681578
1754410736,2025-08-05T16:18:56Z,XBKRB,"20.689095,-105.243416",0,10,25,,,,05/08/2025 16:18,20.689095,-105.243416,0.012556292
1754410742,2025-08-05T16:19:02Z,XBKRB,"20.689304,-105.243408",0,7,303,,,,05/08/2025 16:19,20.689304,-105.243408,0.019060793
1754410749,2025-08-05T16:19:09Z,XBKRB,"20.689201,-105.243729",0,16,219,,,,05/08/2025 16:19,20.689201,-105.243729,0.02198773
