Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1754935744,2025-08-11T18:09:04Z,XBKRB,"20.676397,-105.251358",0,0,239,,,,11/08/2025 18:09,20.676397,-105.251358,0.014022958
1754935823,2025-08-11T18:10:23Z,XBKRB,"20.676304,-105.251587",0,4,253,,,,11/08/2025 18:10,20.676304,-105.251587,0.013087069
1754935833,2025-08-11T18:10:33Z,XBKRB,"20.676373,-105.251808",0,6,309,,,,11/08/2025 18:10,20.676373,-105.251808,0.016671087
1754935844,2025-08-11T18:10:44Z,XBKRB,"20.676579,-105.252007",0,7,315,,,,11/08/2025 18:10,20.676579,-105.252007,0.016225307
1754935852,2025-08-11T18:10:52Z,XBKRB,"20.676794,-105.252182",0,6,345,,,,11/08/2025 18:10,20.676794,-105.252182,0.013481379
1754935860,2025-08-11T18:11:00Z,XBKRB,"20.677013,-105.252129",0,7,33,,,,11/08/2025 18:11,20.677013,-105.252129,0.018224857
1754935869,2025-08-11T18:11:09Z,XBKRB,"20.677212,-105.251884",0,9,39,,,,11/08/2025 18:11,20.677212,-105.251884,0.017512773
1754935876,2025-08-11T18:11:16Z,XBKRB,"20.677425,-105.251671",0,10,39,,,,11/08/2025 18:11,20.677425,-105.251671,0.016917041
1754935910,2025-08-11T18:11:50Z,XBKRB,"20.677608,-105.251442",0,5,39,,,,11/08/2025 18:11,20.677608,-105.251442,0.019118191
1754935919,2025-08-11T18:11:59Z,XBKRB,"20.67783,-105.251198",0,9,33,,,,11/08/2025 18:11,20.67783,-105.251198,0.015041992
1754935927,2025-08-11T18:12:07Z,XBKRB,"20.678078,-105.25116",0,7,315,,,,11/08/2025 18:12,20.678078,-105.25116,0.016418409
1754935934,2025-08-11T18:12:14Z,XBKRB,"20.678272,-105.251366",0,10,306,,,,11/08/2025 18:12,20.678272,-105.251366,0.017470185
1754935940,2025-08-11T18:12:20Z,XBKRB,"20.67849,-105.251572",0,12,309,,,,11/08/2025 18:12,20.67849,-105.251572,0.01669786
1754935944,2025-08-11T18:12:24Z,XBKRB,"20.678684,-105.251785",0,15,306,,,,11/08/2025 18:12,20.678684,-105.251785,0.01856171
1754935948,2025-08-11T18:12:28Z,XBKRB,"20.678913,-105.252007",0,15,309,,,,11/08/2025 18:12,20.678913,-105.252007,0.020424519
1754935953,2025-08-11T18:12:33Z,XBKRB,"20.679178,-105.252235",0,14,329,,,,11/08/2025 18:12,20.679178,-105.252235,0.013382491
1754935957,2025-08-11T18:12:37Z,XBKRB,"20.679399,-105.252266",0,10,354,,,,11/08/2025 18:12,20.679399,-105.252266,0.020947533
1754935964,2025-08-11T18:12:44Z,XBKRB,"20.679703,-105.252083",0,14,42,,,,11/08/2025 18:12,20.679703,-105.252083,0.02100972
1754935969,2025-08-11T18:12:49Z,XBKRB,"20.679924,-105.251793",0,17,42,,,,11/08/2025 18:12,20.679924,-105.251793,0.018622975
1754935973,2025-08-11T18:12:53Z,XBKRB,"20.680134,-105.251549",0,20,39,,,,11/08/2025 18:12,20.680134,-105.251549,0.015193552
1754935975,2025-08-11T18:12:55Z,XBKRB,"20.680298,-105.251343",0,20,36,,,,11/08/2025 18:12,20.680298,-105.251343,0.018626996
1754935979,2025-08-11T18:12:59Z,XBKRB,"20.680515,-105.251106",0,17,39,,,,11/08/2025 18:12,20.680515,-105.251106,0.017063728
1754935983,2025-08-11T18:13:03Z,XBKRB,"20.68071,-105.250885",0,15,39,,,,11/08/2025 18:13,20.68071,-105.250885,0.016595339
1754935987,2025-08-11T18:13:07Z,XBKRB,"20.680927,-105.250702",0,12,11,,,,11/08/2025 18:13,20.680927,-105.250702,0.013876318
1754935991,2025-08-11T18:13:11Z,XBKRB,"20.681158,-105.250694",0,11,334,,,,11/08/2025 18:13,20.681158,-105.250694,0.014883064
1754935997,2025-08-11T18:13:17Z,XBKRB,"20.681374,-105.250824",0,10,309,,,,11/08/2025 18:13,20.681374,-105.250824,0.01676241
1754936004,2025-08-11T18:13:24Z,XBKRB,"20.681576,-105.25103",0,7,309,,,,11/08/2025 18:13,20.681576,-105.25103,0.020149025
