Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1755188734,2025-08-14T16:25:34Z,XBKRB,"20.988194,-101.48056",0,0,123,,,,14/08/2025 16:25,20.988194,-101.48056,0.012479045
1755188820,2025-08-14T16:27:00Z,XBKRB,"20.988169,-101.480339",0,7,47,,,,14/08/2025 16:27,20.988169,-101.480339,0.01921026
1755188829,2025-08-14T16:27:09Z,XBKRB,"20.988401,-101.480103",0,8,36,,,,14/08/2025 16:27,20.988401,-101.480103,0.018021442
1755188837,2025-08-14T16:27:17Z,XBKRB,"20.988625,-101.479889",0,6,14,,,,14/08/2025 16:27,20.988625,-101.479889,0.013585929
1755188846,2025-08-14T16:27:26Z,XBKRB,"20.988844,-101.47995",0,7,331,,,,14/08/2025 16:27,20.988844,-101.47995,0.015045223
1755188854,2025-08-14T16:27:34Z,XBKRB,"20.989082,-101.479866",0,9,30,,,,14/08/2025 16:27,20.989082,-101.479866,0.019253161
1755188860,2025-08-14T16:27:40Z,XBKRB,"20.989321,-101.479637",0,9,25,,,,14/08/2025 16:27,20.989321,-101.479637,0.012673975
1755188866,2025-08-14T16:27:46Z,XBKRB,"20.989531,-101.479614",0,8,323,,,,14/08/2025 16:27,20.989531,-101.479614,0.019208413
1755188873,2025-08-14T16:27:53Z,XBKRB,"20.989769,-101.479843",0,11,303,,,,14/08/2025 16:27,20.989769,-101.479843,0.02327311
1755188880,2025-08-14T16:28:00Z,XBKRB,"20.990032,-101.480148",0,15,306,,,,14/08/2025 16:28,20.990032,-101.480148,0.024718322
1755188885,2025-08-14T16:28:05Z,XBKRB,"20.990322,-101.480461",0,17,309,,,,14/08/2025 16:28,20.990322,-101.480461,0.019880619
1755188889,2025-08-14T16:28:09Z,XBKRB,"20.990555,-101.480713",0,18,306,,,,14/08/2025 16:28,20.990555,-101.480713,0.019880619
1755188893,2025-08-14T16:28:13Z,XBKRB,"20.990788,-101.480965",0,20,306,,,,14/08/2025 16:28,20.990788,-101.480965,0.027752731
1755188898,2025-08-14T16:28:18Z,XBKRB,"20.991114,-101.481316",0,21,306,,,,14/08/2025 16:28,20.991114,-101.481316,0.052080911
1755188906,2025-08-14T16:28:26Z,XBKRB,"20.991714,-101.481987",0,22,309,,,,14/08/2025 16:28,20.991714,-101.481987,0.049141147
1755188914,2025-08-14T16:28:34Z,XBKRB,"20.992287,-101.482613",0,22,309,,,,14/08/2025 16:28,20.992287,-101.482613,0.043437938
1755188921,2025-08-14T16:28:41Z,XBKRB,"20.99279,-101.48317",0,22,309,,,,14/08/2025 16:28,20.99279,-101.48317,0.046933977
1755188929,2025-08-14T16:28:49Z,XBKRB,"20.99334,-101.483765",0,20,309,,,,14/08/2025 16:28,20.99334,-101.483765,0.042797706
1755188936,2025-08-14T16:28:56Z,XBKRB,"20.993843,-101.484306",0,20,309,,,,14/08/2025 16:28,20.993843,-101.484306,0.039746763
1755188944,2025-08-14T16:29:04Z,XBKRB,"20.994301,-101.484818",0,18,312,,,,14/08/2025 16:29,20.994301,-101.484818,0.036391925
1755188951,2025-08-14T16:29:11Z,XBKRB,"20.994724,-101.485283",0,17,309,,,,14/08/2025 16:29,20.994724,-101.485283,0.035650433
1755188959,2025-08-14T16:29:19Z,XBKRB,"20.995136,-101.485741",0,15,309,,,,14/08/2025 16:29,20.995136,-101.485741,0.036433706
1755188967,2025-08-14T16:29:27Z,XBKRB,"20.99556,-101.486206",0,15,309,,,,14/08/2025 16:29,20.99556,-101.486206,0.031213422
1755188975,2025-08-14T16:29:35Z,XBKRB,"20.995932,-101.486595",0,12,329,,,,14/08/2025 16:29,20.995932,-101.486595,0.01629052
1755188981,2025-08-14T16:29:41Z,XBKRB,"20.996201,-101.486633",0,10,14,,,,14/08/2025 16:29,20.996201,-101.486633,0.022418206
1755188989,2025-08-14T16:29:49Z,XBKRB,"20.996479,-101.486366",0,11,39,,,,14/08/2025 16:29,20.996479,-101.486366,0.01643968
1755188996,2025-08-14T16:29:56Z,XBKRB,"20.996681,-101.486168",0,6,36,,,,14/08/2025 16:29,20.996681,-101.486168,0.016678099
1755189048,2025-08-14T16:30:48Z,XBKRB,"20.996874,-101.485954",0,9,39,,,,14/08/2025 16:30,20.996874,-101.485954,0.020187979
1755189055,2025-08-14T16:30:55Z,XBKRB,"20.997128,-101.485718",0,9,30,,,,14/08/2025 16:30,20.997128,-101.485718,0.01505212
1755189064,2025-08-14T16:31:04Z,XBKRB,"20.997375,-101.485672",0,6,331,,,,14/08/2025 16:31,20.997375,-101.485672,0.012104199
1755189081,2025-08-14T16:31:21Z,XBKRB,"20.997402,-101.485458",0,12,126,,,,14/08/2025 16:31,20.997402,-101.485458,0.032445066
1755189086,2025-08-14T16:31:26Z,XBKRB,"20.997015,-101.485054",5600,27,129,,,,14/08/2025 16:31,20.997015,-101.485054,0.023698533
1755189088,2025-08-14T16:31:28Z,XBKRB,"20.996735,-101.484756",5600,38,133,,,,14/08/2025 16:31,20.996735,-101.484756,0.031263848
1755189091,2025-08-14T16:31:31Z,XBKRB,"20.996384,-101.484344",5600,47,134,,,,14/08/2025 16:31,20.996384,-101.484344,0.039063984
1755189093,2025-08-14T16:31:33Z,XBKRB,"20.995926,-101.483849",5600,55,132,,,,14/08/2025 16:31,20.995926,-101.483849,0.032724438
1755189096,2025-08-14T16:31:36Z,XBKRB,"20.995571,-101.483406",5600,62,134,,,,14/08/2025 16:31,20.995571,-101.483406,0.375446435
1755189111,2025-08-14T16:31:51Z,XBKRB,"20.991165,-101.478653",5575,98,133,,,,14/08/2025 16:31,20.991165,-101.478653,0.427572572
1755189126,2025-08-14T16:32:06Z,XBKRB,"20.986261,-101.473122",5675,106,133,,,,14/08/2025 16:32,20.986261,-101.473122,0.434010794
1755189141,2025-08-14T16:32:21Z,XBKRB,"20.981369,-101.467422",5875,109,131,,,,14/08/2025 16:32,20.981369,-101.467422,0.472345154
1755189156,2025-08-14T16:32:36Z,XBKRB,"20.976345,-101.460938",6125,108,127,,,,14/08/2025 16:32,20.976345,-101.460938,0.469585519
1755189172,2025-08-14T16:32:52Z,XBKRB,"20.971457,-101.454399",6325,114,127,,,,14/08/2025 16:32,20.971457,-101.454399,0.523209014
1755189187,2025-08-14T16:33:07Z,XBKRB,"20.966309,-101.446869",6500,121,125,,,,14/08/2025 16:33,20.966309,-101.446869,0.499800377
1755189202,2025-08-14T16:33:22Z,XBKRB,"20.961403,-101.439667",6675,124,129,,,,14/08/2025 16:33,20.961403,-101.439667,0.200066531
1755189207,2025-08-14T16:33:27Z,XBKRB,"20.959028,-101.437164",6725,123,137,,,,14/08/2025 16:33,20.959028,-101.437164,0.107408295
1755189211,2025-08-14T16:33:31Z,XBKRB,"20.957632,-101.435966",6750,122,145,,,,14/08/2025 16:33,20.957632,-101.435966,0.067533404
1755189213,2025-08-14T16:33:33Z,XBKRB,"20.956654,-101.435371",6775,121,150,,,,14/08/2025 16:33,20.956654,-101.435371,0.122654274
1755189216,2025-08-14T16:33:36Z,XBKRB,"20.954792,-101.434471",6800,121,158,,,,14/08/2025 16:33,20.954792,-101.434471,0.105897045
1755189219,2025-08-14T16:33:39Z,XBKRB,"20.953079,-101.434021",6825,121,168,,,,14/08/2025 16:33,20.953079,-101.434021,0.084790337
1755189222,2025-08-14T16:33:42Z,XBKRB,"20.951674,-101.433868",6850,122,175,,,,14/08/2025 16:33,20.951674,-101.433868,0.077812266
1755189224,2025-08-14T16:33:44Z,XBKRB,"20.950378,-101.433876",6875,121,183,,,,14/08/2025 16:33,20.950378,-101.433876,0.082791699
1755189227,2025-08-14T16:33:47Z,XBKRB,"20.949018,-101.43412",6900,121,190,,,,14/08/2025 16:33,20.949018,-101.43412,0.08933448
1755189229,2025-08-14T16:33:49Z,XBKRB,"20.947577,-101.434517",6950,122,196,,,,14/08/2025 16:33,20.947577,-101.434517,0.076969182
1755189232,2025-08-14T16:33:52Z,XBKRB,"20.946396,-101.435051",6975,123,203,,,,14/08/2025 16:33,20.946396,-101.435051,0.101000038
1755189234,2025-08-14T16:33:54Z,XBKRB,"20.944923,-101.435921",7000,123,211,,,,14/08/2025 16:33,20.944923,-101.435921,0.10783831
1755189238,2025-08-14T16:33:58Z,XBKRB,"20.943512,-101.437111",7025,124,221,,,,14/08/2025 16:33,20.943512,-101.437111,0.110994011
1755189241,2025-08-14T16:34:01Z,XBKRB,"20.942276,-101.438583",7050,125,230,,,,14/08/2025 16:34,20.942276,-101.438583,0.080208265
1755189243,2025-08-14T16:34:03Z,XBKRB,"20.941525,-101.439766",7075,125,236,,,,14/08/2025 16:34,20.941525,-101.439766,0.080212671
1755189245,2025-08-14T16:34:05Z,XBKRB,"20.940903,-101.441032",7100,124,243,,,,14/08/2025 16:34,20.940903,-101.441032,0.083997427
1755189248,2025-08-14T16:34:08Z,XBKRB,"20.940361,-101.442413",7150,123,248,,,,14/08/2025 16:34,20.940361,-101.442413,0.072054488
1755189250,2025-08-14T16:34:10Z,XBKRB,"20.939987,-101.443634",7175,124,253,,,,14/08/2025 16:34,20.939987,-101.443634,0.082547724
