Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1755452450,2025-08-17T17:40:50Z,XBKRB,"20.499344,-103.256866",5975,126,114,,,,17/08/2025 17:40,20.499344,-103.256866,0.557707888
1755452466,2025-08-17T17:41:06Z,XBKRB,"20.49559,-103.247795",6075,130,113,,,,17/08/2025 17:41,20.49559,-103.247795,0.459078599
1755452479,2025-08-17T17:41:19Z,XBKRB,"20.49262,-103.240273",6175,138,112,,,,17/08/2025 17:41,20.49262,-103.240273,0.578761587
1755452493,2025-08-17T17:41:33Z,XBKRB,"20.488571,-103.230934",6300,139,115,,,,17/08/2025 17:41,20.488571,-103.230934,0.543637205
1755452507,2025-08-17T17:41:47Z,XBKRB,"20.484421,-103.222343",6400,141,118,,,,17/08/2025 17:41,20.484421,-103.222343,0.581226165
1755452522,2025-08-17T17:42:02Z,XBKRB,"20.479797,-103.213264",6525,142,118,,,,17/08/2025 17:42,20.479797,-103.213264,0.578196297
1755452536,2025-08-17T17:42:16Z,XBKRB,"20.475266,-103.204193",6625,144,117,,,,17/08/2025 17:42,20.475266,-103.204193,0.527574147
1755452550,2025-08-17T17:42:30Z,XBKRB,"20.471579,-103.195679",6800,141,110,,,,17/08/2025 17:42,20.471579,-103.195679,0.086224583
1755452553,2025-08-17T17:42:33Z,XBKRB,"20.471113,-103.194229",6825,141,104,,,,17/08/2025 17:42,20.471113,-103.194229,0.113433446
1755452556,2025-08-17T17:42:36Z,XBKRB,"20.470642,-103.192276",6825,142,97,,,,17/08/2025 17:42,20.470642,-103.192276,0.204958785
1755452560,2025-08-17T17:42:40Z,XBKRB,"20.470367,-103.188644",6850,142,97,,,,17/08/2025 17:42,20.470367,-103.188644,0.082155796
1755452562,2025-08-17T17:42:42Z,XBKRB,"20.470463,-103.187187",6875,141,82,,,,17/08/2025 17:42,20.470463,-103.187187,0.045363357
1755452568,2025-08-17T17:42:48Z,XBKRB,"20.470551,-103.186386",6900,141,81,,,,17/08/2025 17:42,20.470551,-103.186386,0.392735921
1755452573,2025-08-17T17:42:53Z,XBKRB,"20.473114,-103.179962",7000,139,54,,,,17/08/2025 17:42,20.473114,-103.179962,0.086550949
1755452576,2025-08-17T17:42:56Z,XBKRB,"20.474001,-103.178749",7025,138,49,,,,17/08/2025 17:42,20.474001,-103.178749,0.109022501
1755452578,2025-08-17T17:42:58Z,XBKRB,"20.475304,-103.177399",7050,139,42,,,,17/08/2025 17:42,20.475304,-103.177399,0.156199011
1755452583,2025-08-17T17:43:03Z,XBKRB,"20.477398,-103.175751",7100,140,31,,,,17/08/2025 17:43,20.477398,-103.175751,0.103851901
1755452585,2025-08-17T17:43:05Z,XBKRB,"20.478935,-103.174904",7125,142,26,,,,17/08/2025 17:43,20.478935,-103.174904,0.10382766
1755452587,2025-08-17T17:43:07Z,XBKRB,"20.480516,-103.174156",7175,143,22,,,,17/08/2025 17:43,20.480516,-103.174156,0.099456226
1755452590,2025-08-17T17:43:10Z,XBKRB,"20.482086,-103.173592",7200,142,19,,,,17/08/2025 17:43,20.482086,-103.173592,0.095704139
1755452592,2025-08-17T17:43:12Z,XBKRB,"20.483597,-103.17305",7225,143,18,,,,17/08/2025 17:43,20.483597,-103.17305,0.101358328
