Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1753546234,2025-07-26T16:10:34Z,XBKRB,"20.676384,-105.251465",0,0,244,,,26/07/2025 16:10:34,20.676384,-105.251465,,0.016308655
1753546583,2025-07-26T16:16:23Z,XBKRB,"20.676397,-105.251755",0,7,295,,,26/07/2025 16:16:23,20.676397,-105.251755,,0.018523663
1753546592,2025-07-26T16:16:32Z,XBKRB,"20.676596,-105.252007",0,7,312,,,26/07/2025 16:16:32,20.676596,-105.252007,,0.018923479
1753546603,2025-07-26T16:16:43Z,XBKRB,"20.676851,-105.252205",0,6,348,,,26/07/2025 16:16:43,20.676851,-105.252205,,0.014703579
1753546611,2025-07-26T16:16:51Z,XBKRB,"20.677071,-105.25209",0,8,39,,,26/07/2025 16:16:51,20.677071,-105.25209,,0.018586962
1753546619,2025-07-26T16:16:59Z,XBKRB,"20.677288,-105.251854",0,9,39,,,26/07/2025 16:16:59,20.677288,-105.251854,,0.018461357
1753546629,2025-07-26T16:17:09Z,XBKRB,"20.677494,-105.25161",0,4,36,,,26/07/2025 16:17:09,20.677494,-105.25161,,0.017393537
1753546665,2025-07-26T16:17:45Z,XBKRB,"20.677689,-105.251381",0,5,36,,,26/07/2025 16:17:45,20.677689,-105.251381,,0.017651162
1753546675,2025-07-26T16:17:55Z,XBKRB,"20.677898,-105.25116",0,7,25,,,26/07/2025 16:17:55,20.677898,-105.25116,,0.012674183
1753546682,2025-07-26T16:18:02Z,XBKRB,"20.678108,-105.251183",0,8,315,,,26/07/2025 16:18:02,20.678108,-105.251183,,0.021647988
1753546691,2025-07-26T16:18:11Z,XBKRB,"20.678375,-105.251442",0,10,309,,,26/07/2025 16:18:11,20.678375,-105.251442,,0.018828055
1753546697,2025-07-26T16:18:17Z,XBKRB,"20.678604,-105.251671",0,12,309,,,26/07/2025 16:18:17,20.678604,-105.251671,,0.022970083
1753546704,2025-07-26T16:18:24Z,XBKRB,"20.678888,-105.251945",0,13,309,,,26/07/2025 16:18:24,20.678888,-105.251945,,0.01654658
1753546709,2025-07-26T16:18:29Z,XBKRB,"20.679085,-105.252151",0,12,312,,,26/07/2025 16:18:29,20.679085,-105.252151,,0.015980216
1753546714,2025-07-26T16:18:34Z,XBKRB,"20.679325,-105.252274",0,10,345,,,26/07/2025 16:18:34,20.679325,-105.252274,,0.01250145
1753546719,2025-07-26T16:18:39Z,XBKRB,"20.679527,-105.25222",0,11,25,,,26/07/2025 16:18:39,20.679527,-105.25222,,0.019092679
1753546724,2025-07-26T16:18:44Z,XBKRB,"20.679762,-105.251991",0,14,36,,,26/07/2025 16:18:44,20.679762,-105.251991,,0.018827497
1753546729,2025-07-26T16:18:49Z,XBKRB,"20.679977,-105.251747",0,15,36,,,26/07/2025 16:18:49,20.679977,-105.251747,,0.018130103
1753546733,2025-07-26T16:18:53Z,XBKRB,"20.680183,-105.251511",0,16,42,,,26/07/2025 16:18:53,20.680183,-105.251511,,0.016495527
1753546737,2025-07-26T16:18:57Z,XBKRB,"20.680355,-105.251282",0,14,36,,,26/07/2025 16:18:57,20.680355,-105.251282,,0.022111782
1753546742,2025-07-26T16:19:02Z,XBKRB,"20.680611,-105.250999",0,13,36,,,26/07/2025 16:19:02,20.680611,-105.250999,,0.021294564
1753546749,2025-07-26T16:19:09Z,XBKRB,"20.68087,-105.25074",0,11,25,,,26/07/2025 16:19:09,20.68087,-105.25074,,0.01890806
1753546755,2025-07-26T16:19:15Z,XBKRB,"20.681181,-105.250687",0,11,331,,,26/07/2025 16:19:15,20.681181,-105.250687,,0.018959408
1753546761,2025-07-26T16:19:21Z,XBKRB,"20.681442,-105.250877",0,14,306,,,26/07/2025 16:19:21,20.681442,-105.250877,,0.021777476
1753546767,2025-07-26T16:19:27Z,XBKRB,"20.681705,-105.251144",0,17,309,,,26/07/2025 16:19:27,20.681705,-105.251144,,0.019661666
1753546770,2025-07-26T16:19:30Z,XBKRB,"20.681946,-105.251381",0,18,312,,,26/07/2025 16:19:30,20.681946,-105.251381,,0.017821015
1753546774,2025-07-26T16:19:34Z,XBKRB,"20.68222,-105.251503",0,15,354,,,26/07/2025 16:19:34,20.68222,-105.251503,,0.024914203
1753546779,2025-07-26T16:19:39Z,XBKRB,"20.682598,-105.25132",0,20,33,,,26/07/2025 16:19:39,20.682598,-105.25132,,0.032937448
1753546784,2025-07-26T16:19:44Z,XBKRB,"20.682974,-105.250893",0,28,39,,,26/07/2025 16:19:44,20.682974,-105.250893,,0.020839757
1753546786,2025-07-26T16:19:46Z,XBKRB,"20.683207,-105.250618",0,31,48,,,26/07/2025 16:19:46,20.683207,-105.250618,,0.023638251
1753546789,2025-07-26T16:19:49Z,XBKRB,"20.683485,-105.25032",0,36,46,,,26/07/2025 16:19:49,20.683485,-105.25032,,0.015514428
1753546790,2025-07-26T16:19:50Z,XBKRB,"20.68364,-105.250099",0,37,46,,,26/07/2025 16:19:50,20.68364,-105.250099,,0.022136069
1753546793,2025-07-26T16:19:53Z,XBKRB,"20.683905,-105.249825",0,41,46,,,26/07/2025 16:19:53,20.683905,-105.249825,,0.03000987
1753546795,2025-07-26T16:19:55Z,XBKRB,"20.684231,-105.24942",0,43,45,,,26/07/2025 16:19:55,20.684231,-105.24942,,0.039271513
1753546798,2025-07-26T16:19:58Z,XBKRB,"20.684692,-105.248924",0,46,46,,,26/07/2025 16:19:58,20.684692,-105.248924,,0.019413061
1753546799,2025-07-26T16:19:59Z,XBKRB,"20.684921,-105.24868",0,48,46,,,26/07/2025 16:19:59,20.684921,-105.24868,,0.014552513
1753546801,2025-07-26T16:20:01Z,XBKRB,"20.685068,-105.248474",0,48,47,,,26/07/2025 16:20:01,20.685068,-105.248474,,0.039954691
1753546803,2025-07-26T16:20:03Z,XBKRB,"20.685516,-105.247948",0,49,46,,,26/07/2025 16:20:03,20.685516,-105.247948,,0.027290544
1753546805,2025-07-26T16:20:05Z,XBKRB,"20.685837,-105.247604",0,50,47,,,26/07/2025 16:20:05,20.685837,-105.247604,,0.03725639
1753546808,2025-07-26T16:20:08Z,XBKRB,"20.686249,-105.247108",0,48,46,,,26/07/2025 16:20:08,20.686249,-105.247108,,0.026424266
1753546810,2025-07-26T16:20:10Z,XBKRB,"20.686558,-105.246773",0,46,46,,,26/07/2025 16:20:10,20.686558,-105.246773,,0.027503316
1753546812,2025-07-26T16:20:12Z,XBKRB,"20.686884,-105.246429",0,44,45,,,26/07/2025 16:20:12,20.686884,-105.246429,,0.107140035
1753546821,2025-07-26T16:20:21Z,XBKRB,"20.688093,-105.245026",0,37,48,,,26/07/2025 16:20:21,20.688093,-105.245026,,0.027503125
1753546825,2025-07-26T16:20:25Z,XBKRB,"20.688419,-105.244682",0,31,50,,,26/07/2025 16:20:25,20.688419,-105.244682,,0.019840134
1753546827,2025-07-26T16:20:27Z,XBKRB,"20.688618,-105.2444",0,26,39,,,26/07/2025 16:20:27,20.688618,-105.2444,,0.034047442
1753546833,2025-07-26T16:20:33Z,XBKRB,"20.688944,-105.243904",0,18,53,,,26/07/2025 16:20:33,20.688944,-105.243904,,0.01636246
1753546837,2025-07-26T16:20:37Z,XBKRB,"20.689053,-105.243637",0,15,56,,,26/07/2025 16:20:37,20.689053,-105.243637,,0.01338259
1753546841,2025-07-26T16:20:41Z,XBKRB,"20.689165,-105.243431",0,10,33,,,26/07/2025 16:20:41,20.689165,-105.243431,,0.013228158
1753546852,2025-07-26T16:20:52Z,XBKRB,"20.689257,-105.243645",0,13,236,,,26/07/2025 16:20:52,20.689257,-105.243645,,0.019768023
1753546856,2025-07-26T16:20:56Z,XBKRB,"20.68906,-105.243927",0,24,219,,,26/07/2025 16:20:56,20.68906,-105.243927,,0.017605029
1753546859,2025-07-26T16:20:59Z,XBKRB,"20.688839,-105.244133",0,29,219,,,26/07/2025 16:20:59,20.688839,-105.244133,,0.020244843
1753546861,2025-07-26T16:21:01Z,XBKRB,"20.688629,-105.244415",0,38,228,,,26/07/2025 16:21:01,20.688629,-105.244415,,0.025415241
1753546863,2025-07-26T16:21:03Z,XBKRB,"20.688354,-105.244759",0,44,227,,,26/07/2025 16:21:03,20.688354,-105.244759,,0.038783293
1753546865,2025-07-26T16:21:05Z,XBKRB,"20.687897,-105.245247",0,52,226,,,26/07/2025 16:21:05,20.687897,-105.245247,,0.03504602
1753546868,2025-07-26T16:21:08Z,XBKRB,"20.687485,-105.245689",0,58,226,,,26/07/2025 16:21:08,20.687485,-105.245689,,0.025415344
1753546869,2025-07-26T16:21:09Z,XBKRB,"20.68721,-105.246033",0,61,226,,,26/07/2025 16:21:09,20.68721,-105.246033,,0.044711235
1753546871,2025-07-26T16:21:11Z,XBKRB,"20.686707,-105.24662",0,67,227,,,26/07/2025 16:21:11,20.686707,-105.24662,,0.03882602
1753546874,2025-07-26T16:21:14Z,XBKRB,"20.686249,-105.247108",0,74,226,,,26/07/2025 16:21:14,20.686249,-105.247108,,0.053126206
1753546876,2025-07-26T16:21:16Z,XBKRB,"20.685673,-105.247826",0,79,227,,,26/07/2025 16:21:16,20.685673,-105.247826,,0.174086488
1753546883,2025-07-26T16:21:23Z,XBKRB,"20.683672,-105.250069",0,91,227,,,26/07/2025 16:21:23,20.683672,-105.250069,,0.08925737
1753546887,2025-07-26T16:21:27Z,XBKRB,"20.682648,-105.251221",0,96,227,,,26/07/2025 16:21:27,20.682648,-105.251221,,0.232827003
1753546895,2025-07-26T16:21:35Z,XBKRB,"20.680023,-105.254272",125,102,227,,,26/07/2025 16:21:35,20.680023,-105.254272,,0.270476085
1753546905,2025-07-26T16:21:45Z,XBKRB,"20.676865,-105.257706",175,105,225,,,26/07/2025 16:21:45,20.676865,-105.257706,,0.252846994
1753546913,2025-07-26T16:21:53Z,XBKRB,"20.673843,-105.260841",250,108,222,,,26/07/2025 16:21:53,20.673843,-105.260841,,0.07409036
1753546915,2025-07-26T16:21:55Z,XBKRB,"20.672928,-105.261726",275,108,221,,,26/07/2025 16:21:55,20.672928,-105.261726,,0.079080782
1753546918,2025-07-26T16:21:58Z,XBKRB,"20.67194,-105.262657",325,107,222,,,26/07/2025 16:21:58,20.67194,-105.262657,,0.196082351
1753546924,2025-07-26T16:22:04Z,XBKRB,"20.669565,-105.265053",425,106,223,,,26/07/2025 16:22:04,20.669565,-105.265053,,0.268078946
1753546933,2025-07-26T16:22:13Z,XBKRB,"20.666336,-105.268349",525,108,223,,,26/07/2025 16:22:13,20.666336,-105.268349,,0.213390967
1753546940,2025-07-26T16:22:20Z,XBKRB,"20.6637,-105.270897",575,111,222,,,26/07/2025 16:22:20,20.6637,-105.270897,,0.237758686
1753546948,2025-07-26T16:22:28Z,XBKRB,"20.660769,-105.273743",675,113,222,,,26/07/2025 16:22:28,20.660769,-105.273743,,0.289139559
1753546957,2025-07-26T16:22:37Z,XBKRB,"20.657181,-105.277176",775,113,222,,,26/07/2025 16:22:37,20.657181,-105.277176,,0.244175207
1753546964,2025-07-26T16:22:44Z,XBKRB,"20.654203,-105.280136",850,115,223,,,26/07/2025 16:22:44,20.654203,-105.280136,,0.279300461
1753546973,2025-07-26T16:22:53Z,XBKRB,"20.650759,-105.283478",950,116,222,,,26/07/2025 16:22:53,20.650759,-105.283478,,0.202969954
1753546979,2025-07-26T16:22:59Z,XBKRB,"20.648254,-105.285904",1025,118,221,,,26/07/2025 16:22:59,20.648254,-105.285904,,0.284448952
1753546988,2025-07-26T16:23:08Z,XBKRB,"20.644846,-105.289421",1100,119,231,,,26/07/2025 16:23:08,20.644846,-105.289421,,0.084792987
1753546991,2025-07-26T16:23:11Z,XBKRB,"20.644056,-105.290672",1125,117,237,,,26/07/2025 16:23:11,20.644056,-105.290672,,0.099884581
1753546994,2025-07-26T16:23:14Z,XBKRB,"20.643265,-105.292236",1200,114,244,,,26/07/2025 16:23:14,20.643265,-105.292236,,0.106336174
1753546997,2025-07-26T16:23:17Z,XBKRB,"20.642658,-105.294014",1250,114,253,,,26/07/2025 16:23:17,20.642658,-105.294014,,0.081275304
1753546999,2025-07-26T16:23:19Z,XBKRB,"20.642332,-105.295418",1275,114,259,,,26/07/2025 16:23:19,20.642332,-105.295418,,0.089725038
1753547003,2025-07-26T16:23:23Z,XBKRB,"20.642241,-105.297012",1300,115,268,,,26/07/2025 16:23:23,20.642241,-105.297012,,0.078890047
1753547005,2025-07-26T16:23:25Z,XBKRB,"20.642258,-105.298416",1325,115,273,,,26/07/2025 16:23:25,20.642258,-105.298416,,0.0680609
1753547007,2025-07-26T16:23:27Z,XBKRB,"20.642426,-105.299614",1350,114,281,,,26/07/2025 16:23:27,20.642426,-105.299614,,0.081568263
1753547009,2025-07-26T16:23:29Z,XBKRB,"20.642799,-105.30101",1375,113,286,,,26/07/2025 16:23:29,20.642799,-105.30101,,0.063851582
1753547012,2025-07-26T16:23:32Z,XBKRB,"20.643217,-105.302055",1400,112,293,,,26/07/2025 16:23:32,20.643217,-105.302055,,0.077002545
1753547014,2025-07-26T16:23:34Z,XBKRB,"20.643814,-105.303268",1425,113,299,,,26/07/2025 16:23:34,20.643814,-105.303268,,0.061826651
1753547016,2025-07-26T16:23:36Z,XBKRB,"20.644363,-105.304199",1450,112,305,,,26/07/2025 16:23:36,20.644363,-105.304199,,0.092282484
1753547019,2025-07-26T16:23:39Z,XBKRB,"20.645359,-105.30545",1475,113,313,,,26/07/2025 16:23:39,20.645359,-105.30545,,0.075411832
1753547021,2025-07-26T16:23:41Z,XBKRB,"20.64629,-105.306351",1500,113,319,,,26/07/2025 16:23:41,20.64629,-105.306351,,0.110901125
1753547025,2025-07-26T16:23:45Z,XBKRB,"20.647825,-105.307449",1550,111,329,,,26/07/2025 16:23:45,20.647825,-105.307449,,0.065814579
1753547027,2025-07-26T16:23:47Z,XBKRB,"20.648804,-105.307976",1600,110,334,,,26/07/2025 16:23:47,20.648804,-105.307976,,0.090873099
1753547030,2025-07-26T16:23:50Z,XBKRB,"20.6502,-105.308601",1625,110,339,,,26/07/2025 16:23:50,20.6502,-105.308601,,0.10335895
1753547034,2025-07-26T16:23:54Z,XBKRB,"20.651829,-105.309196",1675,110,342,,,26/07/2025 16:23:54,20.651829,-105.309196,,0.076551889
1753547036,2025-07-26T16:23:56Z,XBKRB,"20.653061,-105.309547",1675,110,343,,,26/07/2025 16:23:56,20.653061,-105.309547,,0.074730919
1753547038,2025-07-26T16:23:58Z,XBKRB,"20.654251,-105.309937",1700,111,344,,,26/07/2025 16:23:58,20.654251,-105.309937,,0.088052645
1753547041,2025-07-26T16:24:01Z,XBKRB,"20.65567,-105.310333",1725,112,345,,,26/07/2025 16:24:01,20.65567,-105.310333,,0.101849855
1753547044,2025-07-26T16:24:04Z,XBKRB,"20.657322,-105.310745",1750,111,346,,,26/07/2025 16:24:04,20.657322,-105.310745,,0.075334109
1753547047,2025-07-26T16:24:07Z,XBKRB,"20.658533,-105.311096",1775,110,346,,,26/07/2025 16:24:07,20.658533,-105.311096,,0.086103197
1753547049,2025-07-26T16:24:09Z,XBKRB,"20.659929,-105.311447",1825,109,346,,,26/07/2025 16:24:09,20.659929,-105.311447,,0.092816946
1753547053,2025-07-26T16:24:13Z,XBKRB,"20.661438,-105.311806",1850,111,346,,,26/07/2025 16:24:13,20.661438,-105.311806,,0.061993999
