Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1753554299,2025-07-26T18:24:59Z,XBKRB,"23.162718,-106.31134",950,114,268,,,26/07/2025 18:24:59,23.162718,-106.31134,,0.21353012
1753554305,2025-07-26T18:25:05Z,XBKRB,"23.162672,-106.315208",1000,118,269,,,26/07/2025 18:25:05,23.162672,-106.315208,,0.249922029
1753554312,2025-07-26T18:25:12Z,XBKRB,"23.162531,-106.319733",1075,120,267,,,26/07/2025 18:25:12,23.162531,-106.319733,,0.235162855
1753554319,2025-07-26T18:25:19Z,XBKRB,"23.162247,-106.323982",1125,122,264,,,26/07/2025 18:25:19,23.162247,-106.323982,,0.094590469
1753554322,2025-07-26T18:25:22Z,XBKRB,"23.162064,-106.325684",1150,121,263,,,26/07/2025 18:25:22,23.162064,-106.325684,,0.066591764
1753554324,2025-07-26T18:25:24Z,XBKRB,"23.161926,-106.326881",1175,121,263,,,26/07/2025 18:25:24,23.161926,-106.326881,,0.088867077
1753554327,2025-07-26T18:25:27Z,XBKRB,"23.161789,-106.328484",1200,122,264,,,26/07/2025 18:25:27,23.161789,-106.328484,,0.107924848
1753554330,2025-07-26T18:25:30Z,XBKRB,"23.161606,-106.330429",1225,123,264,,,26/07/2025 18:25:30,23.161606,-106.330429,,0.24740154
1753554337,2025-07-26T18:25:37Z,XBKRB,"23.161228,-106.334892",1275,125,264,,,26/07/2025 18:25:37,23.161228,-106.334892,,0.253956229
1753554344,2025-07-26T18:25:44Z,XBKRB,"23.160809,-106.33947",1325,127,264,,,26/07/2025 18:25:44,23.160809,-106.33947,,0.282153473
1753554352,2025-07-26T18:25:52Z,XBKRB,"23.160297,-106.344551",1400,128,264,,,26/07/2025 18:25:52,23.160297,-106.344551,,0.266608696
1753554360,2025-07-26T18:26:00Z,XBKRB,"23.159866,-106.349358",1425,132,264,,,26/07/2025 18:26:00,23.159866,-106.349358,,0.319948502
1753554368,2025-07-26T18:26:08Z,XBKRB,"23.159412,-106.355133",1500,132,265,,,26/07/2025 18:26:08,23.159412,-106.355133,,0.269195423
1753554375,2025-07-26T18:26:15Z,XBKRB,"23.159042,-106.359993",1550,134,265,,,26/07/2025 18:26:15,23.159042,-106.359993,,0.298781233
1753554384,2025-07-26T18:26:24Z,XBKRB,"23.15863,-106.365387",1625,134,264,,,26/07/2025 18:26:24,23.15863,-106.365387,,0.254954743
1753554391,2025-07-26T18:26:31Z,XBKRB,"23.158249,-106.369987",1725,132,265,,,26/07/2025 18:26:31,23.158249,-106.369987,,0.281792448
1753554398,2025-07-26T18:26:38Z,XBKRB,"23.157806,-106.375069",1800,132,264,,,26/07/2025 18:26:38,23.157806,-106.375069,,0.261943663
1753554405,2025-07-26T18:26:45Z,XBKRB,"23.157457,-106.379799",1850,132,265,,,26/07/2025 18:26:45,23.157457,-106.379799,,0.239845547
1753554412,2025-07-26T18:26:52Z,XBKRB,"23.157085,-106.384125",1950,130,266,,,26/07/2025 18:26:52,23.157085,-106.384125,,0.197609499
1753554417,2025-07-26T18:26:57Z,XBKRB,"23.156982,-106.387703",2000,131,269,,,26/07/2025 18:26:57,23.156982,-106.387703,,0.080090522
1753554419,2025-07-26T18:26:59Z,XBKRB,"23.157028,-106.389153",2025,130,270,,,26/07/2025 18:26:59,23.157028,-106.389153,,0.080035321
1753554422,2025-07-26T18:27:02Z,XBKRB,"23.157074,-106.390602",2075,129,272,,,26/07/2025 18:27:02,23.157074,-106.390602,,0.071650196
1753554424,2025-07-26T18:27:04Z,XBKRB,"23.15712,-106.391899",2100,128,273,,,26/07/2025 18:27:04,23.15712,-106.391899,,0.081941727
1753554426,2025-07-26T18:27:06Z,XBKRB,"23.157225,-106.393379",2125,128,274,,,26/07/2025 18:27:06,23.157225,-106.393379,,0.126632398
1753554429,2025-07-26T18:27:09Z,XBKRB,"23.157364,-106.395668",2175,128,274,,,26/07/2025 18:27:09,23.157364,-106.395668,,0.093003841
1753554432,2025-07-26T18:27:12Z,XBKRB,"23.157503,-106.397346",2175,129,274,,,26/07/2025 18:27:12,23.157503,-106.397346,,0.093361296
1753554435,2025-07-26T18:27:15Z,XBKRB,"23.15769,-106.399025",2200,130,275,,,26/07/2025 18:27:15,23.15769,-106.399025,,0.110094118
1753554438,2025-07-26T18:27:18Z,XBKRB,"23.157877,-106.401009",2225,130,276,,,26/07/2025 18:27:18,23.157877,-106.401009,,0.068448083
1753554440,2025-07-26T18:27:20Z,XBKRB,"23.158035,-106.402237",2250,130,277,,,26/07/2025 18:27:20,23.158035,-106.402237,,0.09025447
1753554442,2025-07-26T18:27:22Z,XBKRB,"23.158201,-106.403862",2300,129,278,,,26/07/2025 18:27:22,23.158201,-106.403862,,0.08802465
1753554445,2025-07-26T18:27:25Z,XBKRB,"23.158447,-106.405434",2325,128,278,,,26/07/2025 18:27:25,23.158447,-106.405434,,0.09200495
1753554447,2025-07-26T18:27:27Z,XBKRB,"23.158676,-106.407082",2350,128,279,,,26/07/2025 18:27:27,23.158676,-106.407082,,0.081554828
1753554449,2025-07-26T18:27:29Z,XBKRB,"23.158901,-106.408539",2400,127,279,,,26/07/2025 18:27:29,23.158901,-106.408539,,0.085886316
1753554452,2025-07-26T18:27:32Z,XBKRB,"23.15918,-106.410065",2425,128,280,,,26/07/2025 18:27:32,23.15918,-106.410065,,0.085874475
1753554454,2025-07-26T18:27:34Z,XBKRB,"23.159458,-106.411591",2425,128,281,,,26/07/2025 18:27:34,23.159458,-106.411591,,0.092469293
1753554457,2025-07-26T18:27:37Z,XBKRB,"23.159832,-106.413216",2450,129,284,,,26/07/2025 18:27:37,23.159832,-106.413216,,0.087895347
1753554459,2025-07-26T18:27:39Z,XBKRB,"23.16025,-106.414742",2500,128,287,,,26/07/2025 18:27:39,23.16025,-106.414742,,0.117210503
1753554463,2025-07-26T18:27:43Z,XBKRB,"23.160948,-106.416725",2550,125,290,,,26/07/2025 18:27:43,23.160948,-106.416725,,0.088305484
1753554465,2025-07-26T18:27:45Z,XBKRB,"23.161469,-106.418221",2600,125,292,,,26/07/2025 18:27:45,23.161469,-106.418221,,0.08696442
1753554468,2025-07-26T18:27:48Z,XBKRB,"23.16202,-106.419678",2625,126,293,,,26/07/2025 18:27:48,23.16202,-106.419678,,0.086666599
1753554470,2025-07-26T18:27:50Z,XBKRB,"23.162624,-106.421104",2625,127,294,,,26/07/2025 18:27:50,23.162624,-106.421104,,0.111697445
1753554473,2025-07-26T18:27:53Z,XBKRB,"23.163416,-106.422935",2650,128,294,,,26/07/2025 18:27:53,23.163416,-106.422935,,0.068685715
1753554475,2025-07-26T18:27:55Z,XBKRB,"23.163895,-106.424065",2675,127,294,,,26/07/2025 18:27:55,23.163895,-106.424065,,0.074127712
1753554478,2025-07-26T18:27:58Z,XBKRB,"23.16444,-106.42527",2700,126,295,,,26/07/2025 18:27:58,23.16444,-106.42527,,0.090588782
