Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1753640074,2025-07-27T18:14:34Z,XBKRB,"22.945517,-109.934654",0,0,202,,,27/07/2025 18:14:34,22.945517,-109.934654,,0.012540378
1753640087,2025-07-27T18:14:47Z,XBKRB,"22.945564,-109.934433",0,0,202,,,27/07/2025 18:14:47,22.945564,-109.934433,,0.012360888
1753640237,2025-07-27T18:17:17Z,XBKRB,"22.945484,-109.934639",0,4,300,,,27/07/2025 18:17:17,22.945484,-109.934639,,0.013193251
1753640248,2025-07-27T18:17:28Z,XBKRB,"22.945702,-109.934669",0,4,25,,,27/07/2025 18:17:28,22.945702,-109.934669,,0.016781836
1753640259,2025-07-27T18:17:39Z,XBKRB,"22.945925,-109.934486",0,7,22,,,27/07/2025 18:17:39,22.945925,-109.934486,,0.013944697
1753640266,2025-07-27T18:17:46Z,XBKRB,"22.946144,-109.934402",0,7,337,,,27/07/2025 18:17:46,22.946144,-109.934402,,0.018039222
1753640274,2025-07-27T18:17:54Z,XBKRB,"22.946377,-109.934608",0,9,292,,,27/07/2025 18:17:54,22.946377,-109.934608,,0.013406424
1753640279,2025-07-27T18:17:59Z,XBKRB,"22.946482,-109.934822",0,12,289,,,27/07/2025 18:17:59,22.946482,-109.934822,,0.014450137
1753640284,2025-07-27T18:18:04Z,XBKRB,"22.946598,-109.935051",0,12,289,,,27/07/2025 18:18:04,22.946598,-109.935051,,0.015969936
1753640288,2025-07-27T18:18:08Z,XBKRB,"22.946728,-109.935303",0,12,289,,,27/07/2025 18:18:08,22.946728,-109.935303,,0.01586296
1753640293,2025-07-27T18:18:13Z,XBKRB,"22.946867,-109.935547",0,9,298,,,27/07/2025 18:18:13,22.946867,-109.935547,,0.016056411
1753640302,2025-07-27T18:18:22Z,XBKRB,"22.947123,-109.935631",0,7,30,,,27/07/2025 18:18:22,22.947123,-109.935631,,0.016028239
1753640309,2025-07-27T18:18:29Z,XBKRB,"22.947227,-109.935364",0,11,73,,,27/07/2025 18:18:29,22.947227,-109.935364,,0.0182559
1753640315,2025-07-27T18:18:35Z,XBKRB,"22.947262,-109.935036",0,12,70,,,27/07/2025 18:18:35,22.947262,-109.935036,,0.0149193
1753640320,2025-07-27T18:18:40Z,XBKRB,"22.947298,-109.934769",0,9,73,,,27/07/2025 18:18:40,22.947298,-109.934769,,0.011719272
1753640328,2025-07-27T18:18:48Z,XBKRB,"22.947344,-109.934563",0,3,11,,,27/07/2025 18:18:48,22.947344,-109.934563,,0.015577136
